Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
01/01/13 00:00;14;11;0
01/01/13 00:15;14;11;0
01/01/13 00:30;14;10;0
01/01/13 00:45;13;11;0
01/01/13 01:00;14;10;0
01/01/13 01:15;17;11;0
01/01/13 01:30;13;10;0
01/01/13 01:45;18;11;0
01/01/13 02:00;18;10;0
01/01/13 02:15;14;11;0
01/01/13 02:30;21;11;0
01/01/13 02:45;19;11;0
01/01/13 03:00;20;10;0
01/01/13 03:15;17;11;0
01/01/13 03:30;20;11;0
01/01/13 03:45;22;11;0
01/01/13 04:00;20;11;0
01/01/13 04:15;21;10;0
01/01/13 04:30;19;11;0
01/01/13 04:45;20;11;0
01/01/13 05:00;21;11;0
01/01/13 05:15;20;11;0
01/01/13 05:30;15;11;0
01/01/13 05:45;19;13;0
01/01/13 06:00;16;12;0
01/01/13 06:15;15;12;0
01/01/13 06:30;16;11;0
01/01/13 06:45;18;10;0
01/01/13 07:00;17;10;0
01/01/13 07:15;14;10;0
01/01/13 07:30;17;11;0
01/01/13 07:45;14;10;0
01/01/13 08:00;16;10;0
01/01/13 08:15;15;11;0
01/01/13 08:30;10;11;0
01/01/13 08:45;14;13;0
01/01/13 09:00;12;13;0
01/01/13 09:15;10;13;0
01/01/13 09:30;11;14;0
01/01/13 09:45;12;15;0
01/01/13 10:00;11;14;0
01/01/13 10:15;10;13;0
01/01/13 10:30;11;13;0
01/01/13 10:45;12;14;0
01/01/13 11:00;12;13;0
01/01/13 11:15;12;13;0
01/01/13 11:30;10;14;0
01/01/13 11:45;11;12;0
01/01/13 12:00;12;13;0
01/01/13 12:15;10;13;0
01/01/13 12:30;11;13;0
01/01/13 12:45;12;14;0
01/01/13 13:00;12;13;0
01/01/13 13:15;11;14;0
01/01/13 13:30;10;13;0
01/01/13 13:45;11;14;0
01/01/13 14:00;12;14;0
01/01/13 14:15;12;14;0
01/01/13 14:30;11;14;0
01/01/13 14:45;12;14;0
01/01/13 15:00;13;14;0
01/01/13 15:15;13;15;0
01/01/13 15:30;12;15;0
01/01/13 15:45;13;15;0
01/01/13 16:00;11;14;0
01/01/13 16:15;10;12;0
01/01/13 16:30;11;12;0
01/01/13 16:45;10;12;0
01/01/13 17:00;12;12;0
01/01/13 17:15;11;12;0
01/01/13 17:30;13;13;0
01/01/13 17:45;16;13;0
01/01/13 18:00;16;14;0
01/01/13 18:15;18;15;0
01/01/13 18:30;19;14;0
01/01/13 18:45;16;14;0
01/01/13 19:00;16;12;0
01/01/13 19:15;18;12;0
01/01/13 19:30;16;12;0
01/01/13 19:45;19;12;0
01/01/13 20:00;18;12;0
01/01/13 20:15;17;12;0
01/01/13 20:30;19;12;0
01/01/13 20:45;16;12;0
01/01/13 21:00;19;12;0
01/01/13 21:15;19;12;0
01/01/13 21:30;14;12;0
01/01/13 21:45;19;12;0
01/01/13 22:00;14;13;0
01/01/13 22:15;19;13;0
01/01/13 22:30;15;12;0
01/01/13 22:45;19;13;0
01/01/13 23:00;19;13;0
01/01/13 23:15;15;12;0
01/01/13 23:30;18;12;0
01/01/13 23:45;16;12;0
02/01/13 00:00;17;11;0
02/01/13 00:15;17;10;0
02/01/13 00:30;13;10;0
02/01/13 00:45;19;10;0
02/01/13 01:00;18;10;0
02/01/13 01:15;13;10;0
02/01/13 01:30;17;10;0
02/01/13 01:45;20;11;0
02/01/13 02:00;13;10;0
02/01/13 02:15;18;10;0
02/01/13 02:30;19;10;0
02/01/13 02:45;16;10;0
02/01/13 03:00;15;10;0
02/01/13 03:15;19;11;0
02/01/13 03:30;18;9;0
02/01/13 03:45;18;11;0
02/01/13 04:00;15;10;0
02/01/13 04:15;20;10;0
02/01/13 04:30;19;10;0
02/01/13 04:45;18;10;0
02/01/13 05:00;15;10;0
02/01/13 05:15;19;10;0
02/01/13 05:30;20;9;0
02/01/13 05:45;18;10;0
02/01/13 06:00;15;9;0
02/01/13 06:15;16;9;0
02/01/13 06:30;19;10;0
02/01/13 06:45;21;9;0
02/01/13 07:00;16;10;0
02/01/13 07:15;18;10;0
02/01/13 07:30;20;11;0
02/01/13 07:45;20;10;0
02/01/13 08:00;20;12;0
02/01/13 08:15;16;14;0
02/01/13 08:30;17;15;0
02/01/13 08:45;18;15;0
02/01/13 09:00;17;14;0
02/01/13 09:15;13;15;0
02/01/13 09:30;14;20;0
02/01/13 09:45;13;18;0
02/01/13 10:00;12;15;0
02/01/13 10:15;11;16;0
02/01/13 10:30;12;15;0
02/01/13 10:45;12;16;0
02/01/13 11:00;13;15;0
02/01/13 11:15;13;15;0
02/01/13 11:30;13;15;0
02/01/13 11:45;13;15;0
02/01/13 12:00;12;14;0
02/01/13 12:15;13;14;0
02/01/13 12:30;16;17;0
02/01/13 12:45;12;15;0
02/01/13 13:00;13;17;0
02/01/13 13:15;15;15;0
02/01/13 13:30;15;17;0
02/01/13 13:45;14;17;0
02/01/13 14:00;15;16;0
02/01/13 14:15;17;17;0
02/01/13 14:30;16;16;0
02/01/13 14:45;15;15;0
02/01/13 15:00;15;14;0
02/01/13 15:15;14;15;0
02/01/13 15:30;12;16;0
02/01/13 15:45;14;15;0
02/01/13 16:00;13;15;0
02/01/13 16:15;11;15;0
02/01/13 16:30;12;15;0
02/01/13 16:45;12;15;0
02/01/13 17:00;11;15;0
02/01/13 17:15;10;14;0
02/01/13 17:30;14;17;0
02/01/13 17:45;13;15;0
02/01/13 18:00;15;15;0
02/01/13 18:15;15;16;0
02/01/13 18:30;16;15;0
02/01/13 18:45;19;16;0
02/01/13 19:00;14;14;0
02/01/13 19:15;18;15;0
02/01/13 19:30;19;15;0
02/01/13 19:45;17;14;0
02/01/13 20:00;21;14;0
02/01/13 20:15;21;14;0
02/01/13 20:30;18;15;0
02/01/13 20:45;21;14;0
02/01/13 21:00;17;14;0
02/01/13 21:15;17;15;0
02/01/13 21:30;19;14;0
02/01/13 21:45;16;14;0
02/01/13 22:00;19;14;0
02/01/13 22:15;15;14;0
02/01/13 22:30;21;13;0
02/01/13 22:45;21;14;0
02/01/13 23:00;16;14;0
02/01/13 23:15;20;14;0
02/01/13 23:30;22;14;0
02/01/13 23:45;18;14;0
03/01/13 00:00;19;14;0
03/01/13 00:15;20;13;0
03/01/13 00:30;20;13;0
03/01/13 00:45;18;13;0
03/01/13 01:00;17;13;0
03/01/13 01:15;21;17;0
03/01/13 01:30;23;17;0
03/01/13 01:45;20;14;0
03/01/13 02:00;16;12;0
03/01/13 02:15;19;12;0
03/01/13 02:30;20;12;0
03/01/13 02:45;21;12;0
03/01/13 03:00;20;12;0
03/01/13 03:15;20;15;0
03/01/13 03:30;20;15;0
03/01/13 03:45;21;16;0
03/01/13 04:00;22;15;0
03/01/13 04:15;22;13;0
03/01/13 04:30;23;13;0
03/01/13 04:45;22;13;0
03/01/13 05:00;22;16;0
03/01/13 05:15;22;16;0
03/01/13 05:30;22;14;0
03/01/13 05:45;22;13;0
03/01/13 06:00;23;12;0
03/01/13 06:15;23;12;0
03/01/13 06:30;25;11;0
03/01/13 06:45;20;12;0
03/01/13 07:00;22;12;0
03/01/13 07:15;21;11;0
03/01/13 07:30;23;13;0
03/01/13 07:45;25;12;0
03/01/13 08:00;28;14;0
03/01/13 08:15;19;12;0
03/01/13 08:30;21;13;0
03/01/13 08:45;21;12;0
03/01/13 09:00;26;16;0
03/01/13 09:15;25;16;0
03/01/13 09:30;25;18;0
03/01/13 09:45;24;17;0
03/01/13 10:00;20;18;0
03/01/13 10:15;22;18;0
03/01/13 10:30;22;19;0
03/01/13 10:45;18;18;0
03/01/13 11:00;19;19;0
03/01/13 11:15;18;18;0
03/01/13 11:30;19;17;0
03/01/13 11:45;18;18;0
03/01/13 12:00;20;18;0
03/01/13 12:15;22;18;0
03/01/13 12:30;19;18;0
03/01/13 12:45;19;17;0
03/01/13 13:00;19;17;0
03/01/13 13:15;20;18;0
03/01/13 13:30;20;18;0
03/01/13 13:45;20;19;0
03/01/13 14:00;19;19;0
03/01/13 14:15;20;22;0
03/01/13 14:30;21;24;0
03/01/13 14:45;21;23;0
03/01/13 15:00;19;20;0
03/01/13 15:15;19;19;0
03/01/13 15:30;19;19;0
03/01/13 15:45;18;19;0
03/01/13 16:00;19;21;0
03/01/13 16:15;18;20;0
03/01/13 16:30;17;19;0
03/01/13 16:45;17;19;0
03/01/13 17:00;18;21;0
03/01/13 17:15;17;18;0
03/01/13 17:30;26;20;0
03/01/13 17:45;26;19;0
03/01/13 18:00;25;19;0
03/01/13 18:15;27;19;0
03/01/13 18:30;25;19;0
03/01/13 18:45;25;18;0
03/01/13 19:00;27;18;0
03/01/13 19:15;24;18;0
03/01/13 19:30;27;19;0
03/01/13 19:45;29;19;0
03/01/13 20:00;28;19;0
03/01/13 20:15;24;18;0
03/01/13 20:30;29;17;0
03/01/13 20:45;28;18;0
03/01/13 21:00;28;17;0
03/01/13 21:15;24;17;0
03/01/13 21:30;25;18;0
03/01/13 21:45;28;17;0
03/01/13 22:00;28;17;0
03/01/13 22:15;26;17;0
03/01/13 22:30;25;16;0
03/01/13 22:45;26;16;0
03/01/13 23:00;28;17;0
03/01/13 23:15;28;16;0
03/01/13 23:30;28;16;0
03/01/13 23:45;24;15;0
04/01/13 00:00;24;15;0
04/01/13 00:15;26;14;0
04/01/13 00:30;26;11;0
04/01/13 00:45;26;13;0
04/01/13 01:00;26;13;0
04/01/13 01:15;23;12;0
04/01/13 01:30;26;12;0
04/01/13 01:45;26;12;0
04/01/13 02:00;28;12;0
04/01/13 02:15;30;11;0
04/01/13 02:30;27;12;0
04/01/13 02:45;25;12;0
04/01/13 03:00;27;10;0
04/01/13 03:15;27;10;0
04/01/13 03:30;26;14;0
04/01/13 03:45;24;10;0
04/01/13 04:00;31;10;0
04/01/13 04:15;25;11;0
04/01/13 04:30;26;14;0
04/01/13 04:45;29;12;0
04/01/13 05:00;29;13;0
04/01/13 05:15;26;12;0
04/01/13 05:30;31;12;0
04/01/13 05:45;27;12;0
04/01/13 06:00;29;12;0
04/01/13 06:15;30;11;0
04/01/13 06:30;26;12;0
04/01/13 06:45;31;12;0
