Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
01/01/13 00:00;23;0;9
01/01/13 00:15;22;0;9
01/01/13 00:30;22;0;9
01/01/13 00:45;22;0;9
01/01/13 01:00;22;0;9
01/01/13 01:15;22;0;9
01/01/13 01:30;23;0;9
01/01/13 01:45;22;0;9
01/01/13 02:00;22;0;9
01/01/13 02:15;23;0;9
01/01/13 02:30;22;0;9
01/01/13 02:45;23;0;9
01/01/13 03:00;23;0;9
01/01/13 03:15;22;0;10
01/01/13 03:30;23;0;9
01/01/13 03:45;23;0;9
01/01/13 04:00;23;0;10
01/01/13 04:15;23;0;9
01/01/13 04:30;23;0;10
01/01/13 04:45;23;0;9
01/01/13 05:00;23;0;9
01/01/13 05:15;22;0;10
01/01/13 05:30;23;0;9
01/01/13 05:45;23;0;9
01/01/13 06:00;22;0;9
01/01/13 06:15;23;0;9
01/01/13 06:30;22;0;9
01/01/13 06:45;22;0;9
01/01/13 07:00;23;0;10
01/01/13 07:15;22;0;9
01/01/13 07:30;23;0;9
01/01/13 07:45;22;0;9
01/01/13 08:00;23;0;9
01/01/13 08:15;22;0;10
01/01/13 08:30;22;0;9
01/01/13 08:45;23;0;9
01/01/13 09:00;22;0;9
01/01/13 09:15;23;0;9
01/01/13 09:30;22;0;9
01/01/13 09:45;22;0;9
01/01/13 10:00;22;0;9
01/01/13 10:15;23;0;9
01/01/13 10:30;22;0;9
01/01/13 10:45;21;0;9
01/01/13 11:00;22;0;9
01/01/13 11:15;22;0;9
01/01/13 11:30;22;0;8
01/01/13 11:45;22;0;9
01/01/13 12:00;22;0;9
01/01/13 12:15;22;0;9
01/01/13 12:30;22;0;8
01/01/13 12:45;21;0;9
01/01/13 13:00;22;0;9
01/01/13 13:15;22;0;8
01/01/13 13:30;21;0;9
01/01/13 13:45;22;0;9
01/01/13 14:00;22;0;8
01/01/13 14:15;22;0;9
01/01/13 14:30;22;0;9
01/01/13 14:45;22;0;9
01/01/13 15:00;23;0;9
01/01/13 15:15;22;0;9
01/01/13 15:30;22;0;8
01/01/13 15:45;22;0;9
01/01/13 16:00;23;0;9
01/01/13 16:15;22;0;9
01/01/13 16:30;22;0;9
01/01/13 16:45;22;0;9
01/01/13 17:00;22;0;9
01/01/13 17:15;22;0;9
01/01/13 17:30;22;0;9
01/01/13 17:45;21;0;8
01/01/13 18:00;22;0;9
01/01/13 18:15;22;0;9
01/01/13 18:30;22;0;9
01/01/13 18:45;22;0;9
01/01/13 19:00;23;0;9
01/01/13 19:15;22;0;8
01/01/13 19:30;21;0;9
01/01/13 19:45;22;0;9
01/01/13 20:00;22;0;9
01/01/13 20:15;22;0;8
01/01/13 20:30;22;0;9
01/01/13 20:45;22;0;9
01/01/13 21:00;22;0;9
01/01/13 21:15;23;0;9
01/01/13 21:30;22;0;9
01/01/13 21:45;22;0;9
01/01/13 22:00;23;0;9
01/01/13 22:15;23;0;9
01/01/13 22:30;22;0;9
01/01/13 22:45;23;0;10
01/01/13 23:00;23;0;9
01/01/13 23:15;22;0;9
01/01/13 23:30;22;0;8
01/01/13 23:45;23;0;10
02/01/13 00:00;22;0;8
02/01/13 00:15;22;0;9
02/01/13 00:30;22;0;9
02/01/13 00:45;23;0;9
02/01/13 01:00;22;0;9
02/01/13 01:15;22;0;9
02/01/13 01:30;23;0;9
02/01/13 01:45;23;0;9
02/01/13 02:00;22;0;9
02/01/13 02:15;23;0;10
02/01/13 02:30;22;0;9
02/01/13 02:45;23;0;9
02/01/13 03:00;22;0;9
02/01/13 03:15;23;0;9
02/01/13 03:30;22;0;9
02/01/13 03:45;23;0;9
02/01/13 04:00;22;0;9
02/01/13 04:15;23;0;9
02/01/13 04:30;22;0;10
02/01/13 04:45;23;0;9
02/01/13 05:00;23;0;9
02/01/13 05:15;22;0;9
02/01/13 05:30;22;0;9
02/01/13 05:45;22;0;9
02/01/13 06:00;22;0;8
02/01/13 06:15;22;0;9
02/01/13 06:30;22;0;9
02/01/13 06:45;22;0;9
02/01/13 07:00;22;0;8
02/01/13 07:15;22;0;9
02/01/13 07:30;23;0;9
02/01/13 07:45;22;0;9
02/01/13 08:00;22;0;9
02/01/13 08:15;21;0;9
02/01/13 08:30;22;0;8
02/01/13 08:45;22;0;9
02/01/13 09:00;22;0;9
02/01/13 09:15;22;0;9
02/01/13 09:30;22;0;9
02/01/13 09:45;23;0;9
02/01/13 10:00;22;0;9
02/01/13 10:15;23;0;9
02/01/13 10:30;22;0;9
02/01/13 10:45;23;0;10
02/01/13 11:00;22;0;9
02/01/13 11:15;23;0;9
02/01/13 11:30;22;0;9
02/01/13 11:45;23;0;9
