Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
01/01/13 00:00;2;1;0
01/01/13 00:15;1;0;0
01/01/13 00:30;2;0;0
01/01/13 00:45;2;0;0
01/01/13 01:00;1;1;0
01/01/13 01:15;2;0;0
01/01/13 01:30;2;0;0
01/01/13 01:45;1;0;0
01/01/13 02:00;2;0;0
01/01/13 02:15;2;1;0
01/01/13 02:30;1;0;0
01/01/13 02:45;2;0;0
01/01/13 03:00;2;0;0
01/01/13 03:15;1;1;0
01/01/13 03:30;2;0;0
01/01/13 03:45;2;0;0
01/01/13 04:00;2;0;0
01/01/13 04:15;1;0;0
01/01/13 04:30;2;1;0
01/01/13 04:45;2;0;0
01/01/13 05:00;2;1;0
01/01/13 05:15;2;1;0
01/01/13 05:30;2;1;0
01/01/13 05:45;2;1;0
01/01/13 06:00;2;0;0
01/01/13 06:15;2;1;0
01/01/13 06:30;2;1;0
01/01/13 06:45;2;1;0
01/01/13 07:00;2;1;0
01/01/13 07:15;2;0;0
01/01/13 07:30;2;1;0
01/01/13 07:45;2;1;0
01/01/13 08:00;2;0;0
01/01/13 08:15;2;1;0
01/01/13 08:30;2;1;0
01/01/13 08:45;1;0;0
01/01/13 09:00;2;0;0
01/01/13 09:15;2;1;0
01/01/13 09:30;1;0;0
01/01/13 09:45;1;0;0
01/01/13 10:00;1;0;0
01/01/13 10:15;2;0;0
01/01/13 10:30;1;1;0
01/01/13 10:45;1;0;0
01/01/13 11:00;2;0;0
01/01/13 11:15;1;0;0
01/01/13 11:30;1;0;0
01/01/13 11:45;2;1;0
01/01/13 12:00;1;0;0
01/01/13 12:15;1;0;0
01/01/13 12:30;1;0;0
01/01/13 12:45;1;1;0
01/01/13 13:00;2;0;0
01/01/13 13:15;1;0;0
01/01/13 13:30;2;0;0
01/01/13 13:45;1;0;0
01/01/13 14:00;1;1;0
01/01/13 14:15;2;0;0
01/01/13 14:30;1;0;0
01/01/13 14:45;1;1;0
01/01/13 15:00;1;0;0
01/01/13 15:15;2;0;0
01/01/13 15:30;1;0;0
01/01/13 15:45;2;1;0
01/01/13 16:00;1;0;0
01/01/13 16:15;2;0;0
01/01/13 16:30;1;1;0
01/01/13 16:45;2;0;0
01/01/13 17:00;1;0;0
01/01/13 17:15;2;0;0
01/01/13 17:30;1;0;0
01/01/13 17:45;2;1;0
01/01/13 18:00;2;0;0
01/01/13 18:15;1;0;0
01/01/13 18:30;2;0;0
01/01/13 18:45;2;0;0
01/01/13 19:00;1;1;0
01/01/13 19:15;2;0;0
01/01/13 19:30;2;0;0
01/01/13 19:45;1;0;0
01/01/13 20:00;2;1;0
01/01/13 20:15;1;0;0
01/01/13 20:30;2;0;0
01/01/13 20:45;2;0;0
01/01/13 21:00;2;0;0
01/01/13 21:15;1;1;0
01/01/13 21:30;2;0;0
01/01/13 21:45;2;0;0
01/01/13 22:00;1;0;0
01/01/13 22:15;2;1;0
01/01/13 22:30;2;1;0
01/01/13 22:45;2;0;0
01/01/13 23:00;2;0;0
01/01/13 23:15;1;1;0
01/01/13 23:30;2;0;0
01/01/13 23:45;2;0;0
02/01/13 00:00;2;0;0
02/01/13 00:15;1;0;0
02/01/13 00:30;2;1;0
02/01/13 00:45;1;0;0
02/01/13 01:00;2;0;0
02/01/13 01:15;2;1;0
02/01/13 01:30;1;0;0
02/01/13 01:45;2;0;0
02/01/13 02:00;2;0;0
02/01/13 02:15;2;0;0
02/01/13 02:30;1;0;0
02/01/13 02:45;2;1;0
02/01/13 03:00;2;0;0
02/01/13 03:15;1;0;0
02/01/13 03:30;2;1;0
02/01/13 03:45;2;0;0
02/01/13 04:00;2;0;0
02/01/13 04:15;1;0;0
02/01/13 04:30;2;0;0
02/01/13 04:45;2;1;0
02/01/13 05:00;1;0;0
02/01/13 05:15;2;0;0
02/01/13 05:30;2;0;0
02/01/13 05:45;2;1;0
02/01/13 06:00;1;0;0
02/01/13 06:15;2;0;0
02/01/13 06:30;1;0;0
02/01/13 06:45;2;1;0
02/01/13 07:00;2;0;0
02/01/13 07:15;1;0;0
02/01/13 07:30;2;0;0
02/01/13 07:45;2;0;0
02/01/13 08:00;4;0;0
02/01/13 08:15;4;1;0
02/01/13 08:30;5;0;0
02/01/13 08:45;5;0;0
02/01/13 09:00;4;0;0
02/01/13 09:15;5;0;0
02/01/13 09:30;4;0;0
02/01/13 09:45;5;1;0
02/01/13 10:00;4;0;0
02/01/13 10:15;5;0;0
02/01/13 10:30;5;1;0
02/01/13 10:45;4;0;0
02/01/13 11:00;5;0;0
02/01/13 11:15;4;0;0
02/01/13 11:30;9;1;0
02/01/13 11:45;8;0;0
02/01/13 12:00;7;0;0
02/01/13 12:15;8;0;0
02/01/13 12:30;8;0;0
02/01/13 12:45;8;1;0
02/01/13 13:00;8;0;0
02/01/13 13:15;7;0;0
02/01/13 13:30;8;0;0
02/01/13 13:45;8;0;0
02/01/13 14:00;7;0;0
02/01/13 14:15;8;1;0
02/01/13 14:30;8;0;0
02/01/13 14:45;8;0;0
02/01/13 15:00;8;0;0
02/01/13 15:15;10;0;0
02/01/13 15:30;9;1;0
02/01/13 15:45;10;0;0
02/01/13 16:00;9;0;0
02/01/13 16:15;10;0;0
02/01/13 16:30;9;0;0
02/01/13 16:45;8;0;0
02/01/13 17:00;9;1;0
02/01/13 17:15;8;0;0
02/01/13 17:30;20;9;0
02/01/13 17:45;78;0;9
02/01/13 18:00;79;0;9
02/01/13 18:15;81;0;8
02/01/13 18:30;80;0;9
02/01/13 18:45;81;0;8
02/01/13 19:00;81;0;8
02/01/13 19:15;81;0;8
02/01/13 19:30;81;0;7
02/01/13 19:45;79;0;8
02/01/13 20:00;77;0;8
02/01/13 20:15;77;0;8
02/01/13 20:30;77;0;8
02/01/13 20:45;77;0;7
02/01/13 21:00;78;0;7
02/01/13 21:15;34;0;6
02/01/13 21:30;17;0;4
02/01/13 21:45;5;0;1
02/01/13 22:00;1;0;0
02/01/13 22:15;2;0;0
02/01/13 22:30;1;1;0
02/01/13 22:45;1;0;0
02/01/13 23:00;2;0;0
02/01/13 23:15;1;0;0
02/01/13 23:30;2;0;0
02/01/13 23:45;1;1;0
03/01/13 00:00;2;0;0
03/01/13 00:15;1;0;0
03/01/13 00:30;2;0;0
03/01/13 00:45;1;1;0
03/01/13 01:00;2;0;0
03/01/13 01:15;2;0;0
03/01/13 01:30;2;0;0
03/01/13 01:45;1;0;0
03/01/13 02:00;2;1;0
03/01/13 02:15;2;0;0
03/01/13 02:30;2;0;0
03/01/13 02:45;1;0;0
03/01/13 03:00;2;1;0
03/01/13 03:15;2;0;0
03/01/13 03:30;2;0;0
03/01/13 03:45;2;1;0
03/01/13 04:00;2;0;0
03/01/13 04:15;1;0;0
03/01/13 04:30;2;0;0
03/01/13 04:45;2;1;0
03/01/13 05:00;2;0;0
03/01/13 05:15;1;0;0
03/01/13 05:30;2;0;0
03/01/13 05:45;2;1;0
03/01/13 06:00;2;0;0
03/01/13 06:15;2;0;0
03/01/13 06:30;1;0;0
03/01/13 06:45;2;0;0
03/01/13 07:00;2;1;0
03/01/13 07:15;1;0;0
03/01/13 07:30;2;0;0
03/01/13 07:45;2;0;0
03/01/13 08:00;5;0;0
03/01/13 08:15;6;0;0
03/01/13 08:30;6;0;1
03/01/13 08:45;6;0;0
03/01/13 09:00;7;1;0
03/01/13 09:15;6;0;0
03/01/13 09:30;7;0;0
03/01/13 09:45;7;0;0
03/01/13 10:00;6;0;1
03/01/13 10:15;6;0;0
03/01/13 10:30;6;0;0
03/01/13 10:45;7;0;0
03/01/13 11:00;6;1;0
03/01/13 11:15;6;0;1
03/01/13 11:30;6;0;0
03/01/13 11:45;6;0;0
03/01/13 12:00;6;0;0
03/01/13 12:15;6;0;1
03/01/13 12:30;7;0;0
03/01/13 12:45;6;0;0
03/01/13 13:00;6;0;0
03/01/13 13:15;6;0;0
03/01/13 13:30;5;0;0
03/01/13 13:45;6;1;1
03/01/13 14:00;6;0;0
03/01/13 14:15;6;0;0
03/01/13 14:30;7;0;0
03/01/13 14:45;6;0;0
03/01/13 15:00;7;0;0
03/01/13 15:15;6;0;0
03/01/13 15:30;6;0;0
03/01/13 15:45;5;0;0
03/01/13 16:00;7;1;0
03/01/13 16:15;7;0;0
03/01/13 16:30;6;2;0
03/01/13 16:45;7;1;0
03/01/13 17:00;7;0;0
03/01/13 17:15;7;1;0
03/01/13 17:30;10;0;0
03/01/13 17:45;61;8;6
03/01/13 18:00;78;0;8
03/01/13 18:15;81;0;9
03/01/13 18:30;82;0;8
03/01/13 18:45;83;0;8
03/01/13 19:00;82;0;8
03/01/13 19:15;82;0;8
03/01/13 19:30;83;0;8
03/01/13 19:45;82;0;8
03/01/13 20:00;81;0;9
03/01/13 20:15;80;0;8
03/01/13 20:30;81;0;8
03/01/13 20:45;81;0;8
03/01/13 21:00;80;0;9
03/01/13 21:15;79;0;7
03/01/13 21:30;78;0;8
03/01/13 21:45;27;3;6
03/01/13 22:00;37;2;7
03/01/13 22:15;3;0;1
03/01/13 22:30;4;0;0
03/01/13 22:45;3;0;0
03/01/13 23:00;3;1;0
03/01/13 23:15;2;0;0
03/01/13 23:30;4;0;0
03/01/13 23:45;3;0;0
04/01/13 00:00;3;1;0
04/01/13 00:15;3;0;0
04/01/13 00:30;4;1;0
04/01/13 00:45;4;0;0
04/01/13 01:00;3;0;0
04/01/13 01:15;4;0;0
04/01/13 01:30;3;0;0
04/01/13 01:45;4;1;0
04/01/13 02:00;3;0;0
04/01/13 02:15;4;0;0
04/01/13 02:30;3;0;0
04/01/13 02:45;4;1;0
04/01/13 03:00;4;0;0
04/01/13 03:15;3;0;0
04/01/13 03:30;4;0;0
04/01/13 03:45;3;0;0
04/01/13 04:00;4;1;0
04/01/13 04:15;4;0;0
