Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
01/01/13 00:00;23;3;0
01/01/13 00:15;27;7;0
01/01/13 00:30;19;1;1
01/01/13 00:45;23;3;0
01/01/13 01:00;19;1;0
01/01/13 01:15;24;4;0
01/01/13 01:30;22;3;0
01/01/13 01:45;23;4;1
01/01/13 02:00;19;1;0
01/01/13 02:15;25;5;0
01/01/13 02:30;24;5;0
01/01/13 02:45;25;5;0
01/01/13 03:00;23;4;0
01/01/13 03:15;24;4;1
01/01/13 03:30;19;1;0
01/01/13 03:45;21;3;0
01/01/13 04:00;23;5;0
01/01/13 04:15;23;4;0
01/01/13 04:30;19;1;0
01/01/13 04:45;25;4;0
01/01/13 05:00;19;1;1
01/01/13 05:15;25;6;0
01/01/13 05:30;20;1;0
01/01/13 05:45;23;4;0
01/01/13 06:00;23;4;0
01/01/13 06:15;19;1;1
01/01/13 06:30;23;3;0
01/01/13 06:45;22;3;0
01/01/13 07:00;25;5;0
01/01/13 07:15;23;4;0
01/01/13 07:30;22;3;0
01/01/13 07:45;23;4;1
01/01/13 08:00;27;7;0
01/01/13 08:15;24;4;0
01/01/13 08:30;18;1;0
01/01/13 08:45;23;4;0
01/01/13 09:00;42;13;0
01/01/13 09:15;41;13;0
01/01/13 09:30;41;13;0
01/01/13 09:45;37;13;0
01/01/13 10:00;31;7;0
01/01/13 10:15;36;12;0
01/01/13 10:30;25;3;1
01/01/13 10:45;39;14;0
01/01/13 11:00;27;5;0
01/01/13 11:15;34;11;0
01/01/13 11:30;29;7;0
01/01/13 11:45;27;7;0
01/01/13 12:00;30;8;0
01/01/13 12:15;33;9;0
01/01/13 12:30;29;6;0
01/01/13 12:45;29;7;0
01/01/13 13:00;31;9;0
01/01/13 13:15;23;3;0
01/01/13 13:30;30;8;1
01/01/13 13:45;32;9;0
01/01/13 14:00;27;6;0
01/01/13 14:15;29;8;0
01/01/13 14:30;26;6;0
01/01/13 14:45;27;6;0
01/01/13 15:00;31;10;0
01/01/13 15:15;27;6;0
01/01/13 15:30;29;8;0
01/01/13 15:45;27;7;0
01/01/13 16:00;24;5;0
01/01/13 16:15;30;8;0
01/01/13 16:30;28;8;0
01/01/13 16:45;28;6;0
01/01/13 17:00;26;7;0
01/01/13 17:15;30;8;0
01/01/13 17:30;27;6;0
01/01/13 17:45;29;7;0
01/01/13 18:00;27;7;0
01/01/13 18:15;30;8;0
01/01/13 18:30;29;7;1
01/01/13 18:45;32;8;0
01/01/13 19:00;27;6;0
01/01/13 19:15;30;9;0
01/01/13 19:30;30;8;0
01/01/13 19:45;32;9;0
01/01/13 20:00;29;6;0
01/01/13 20:15;32;10;0
01/01/13 20:30;20;2;0
01/01/13 20:45;21;3;0
01/01/13 21:00;26;7;0
01/01/13 21:15;21;3;0
01/01/13 21:30;23;5;0
01/01/13 21:45;20;3;0
01/01/13 22:00;24;5;0
01/01/13 22:15;22;4;0
01/01/13 22:30;21;5;0
01/01/13 22:45;23;5;0
01/01/13 23:00;20;3;0
01/01/13 23:15;23;5;0
01/01/13 23:30;22;5;0
01/01/13 23:45;23;5;0
02/01/13 00:00;19;3;0
02/01/13 00:15;23;4;0
02/01/13 00:30;18;3;0
02/01/13 00:45;25;7;0
02/01/13 01:00;21;3;0
02/01/13 01:15;23;6;0
02/01/13 01:30;20;3;0
02/01/13 01:45;23;5;0
02/01/13 02:00;20;3;0
02/01/13 02:15;25;7;0
02/01/13 02:30;22;5;0
02/01/13 02:45;21;3;0
02/01/13 03:00;24;5;0
02/01/13 03:15;19;3;0
02/01/13 03:30;24;6;0
02/01/13 03:45;23;5;0
02/01/13 04:00;19;2;0
02/01/13 04:15;21;5;0
02/01/13 04:30;21;3;0
02/01/13 04:45;26;7;0
02/01/13 05:00;19;3;0
02/01/13 05:15;24;6;0
02/01/13 05:30;19;2;0
02/01/13 05:45;23;5;0
02/01/13 06:00;19;2;0
02/01/13 06:15;25;6;0
02/01/13 06:30;22;4;0
02/01/13 06:45;19;3;0
02/01/13 07:00;25;5;0
02/01/13 07:15;24;6;0
02/01/13 07:30;24;3;0
