Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
01/01/13 00:00;24;3;3
01/01/13 00:15;23;4;4
01/01/13 00:30;25;2;3
01/01/13 00:45;23;3;4
01/01/13 01:00;26;4;3
01/01/13 01:15;22;2;4
01/01/13 01:30;23;3;3
01/01/13 01:45;22;3;5
01/01/13 02:00;26;4;2
01/01/13 02:15;24;3;3
01/01/13 02:30;25;3;4
01/01/13 02:45;25;3;3
01/01/13 03:00;23;3;4
01/01/13 03:15;22;4;4
01/01/13 03:30;27;3;3
01/01/13 03:45;23;3;4
01/01/13 04:00;24;4;3
01/01/13 04:15;23;3;4
01/01/13 04:30;23;3;3
01/01/13 04:45;23;3;4
01/01/13 05:00;23;4;3
01/01/13 05:15;26;3;3
01/01/13 05:30;25;3;3
01/01/13 05:45;23;4;3
01/01/13 06:00;20;2;3
01/01/13 06:15;21;3;4
01/01/13 06:30;21;4;3
01/01/13 06:45;23;3;3
01/01/13 07:00;22;3;3
01/01/13 07:15;23;3;3
01/01/13 07:30;21;4;4
01/01/13 07:45;20;2;3
01/01/13 08:00;23;4;4
01/01/13 08:15;24;3;3
01/01/13 08:30;23;3;3
01/01/13 08:45;23;4;3
01/01/13 09:00;21;3;3
01/01/13 09:15;22;3;3
01/01/13 09:30;20;3;4
01/01/13 09:45;24;3;3
01/01/13 10:00;22;2;3
01/01/13 10:15;20;2;3
01/01/13 10:30;20;2;4
01/01/13 10:45;22;2;3
01/01/13 11:00;22;2;3
01/01/13 11:15;20;2;3
01/01/13 11:30;24;3;2
01/01/13 11:45;20;2;3
01/01/13 12:00;21;2;4
01/01/13 12:15;23;2;2
01/01/13 12:30;24;2;4
01/01/13 12:45;23;2;3
01/01/13 13:00;21;2;3
01/01/13 13:15;22;2;4
01/01/13 13:30;21;2;3
01/01/13 13:45;24;2;3
01/01/13 14:00;24;3;3
01/01/13 14:15;23;2;3
01/01/13 14:30;22;2;3
01/01/13 14:45;21;2;4
01/01/13 15:00;22;3;3
01/01/13 15:15;24;4;3
01/01/13 15:30;22;2;3
01/01/13 15:45;20;3;4
01/01/13 16:00;20;3;4
01/01/13 16:15;20;3;3
01/01/13 16:30;22;3;4
01/01/13 16:45;23;4;2
01/01/13 17:00;20;2;3
01/01/13 17:15;22;4;4
01/01/13 17:30;21;3;3
01/01/13 17:45;24;3;3
01/01/13 18:00;21;4;3
01/01/13 18:15;21;3;3
01/01/13 18:30;21;3;3
01/01/13 18:45;23;4;3
01/01/13 19:00;23;4;3
01/01/13 19:15;23;2;3
01/01/13 19:30;23;4;3
01/01/13 19:45;24;3;3
01/01/13 20:00;23;3;3
