Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
31/12/12 23:45;66;4;0
01/01/13 00:00;67;5;0
01/01/13 00:15;63;4;0
01/01/13 00:30;64;4;0
01/01/13 00:45;66;4;0
01/01/13 01:00;64;5;0
01/01/13 01:15;65;4;0
01/01/13 01:30;65;4;0
01/01/13 01:45;64;4;0
01/01/13 02:00;64;4;0
01/01/13 02:15;67;5;0
01/01/13 02:30;65;4;0
01/01/13 02:45;65;4;0
01/01/13 03:00;66;4;0
01/01/13 03:15;65;4;0
01/01/13 03:30;73;5;0
01/01/13 03:45;65;4;0
01/01/13 04:00;65;4;0
01/01/13 04:15;66;4;0
01/01/13 04:30;66;4;0
01/01/13 04:45;66;4;0
01/01/13 05:00;65;5;0
01/01/13 05:15;66;4;0
01/01/13 05:30;65;4;0
01/01/13 05:45;65;5;0
01/01/13 06:00;68;4;0
01/01/13 06:15;68;4;0
01/01/13 06:30;64;5;0
01/01/13 06:45;65;5;0
01/01/13 07:00;68;5;0
01/01/13 07:15;69;5;0
01/01/13 07:30;67;6;0
01/01/13 07:45;67;6;0
01/01/13 08:00;68;5;0
01/01/13 08:15;65;5;0
01/01/13 08:30;65;6;0
01/01/13 08:45;67;5;0
01/01/13 09:00;66;5;0
01/01/13 09:15;64;5;0
01/01/13 09:30;67;6;0
01/01/13 09:45;67;5;0
01/01/13 10:00;64;5;0
01/01/13 10:15;66;5;0
01/01/13 10:30;65;4;0
01/01/13 10:45;64;5;0
01/01/13 11:00;65;5;0
01/01/13 11:15;64;5;0
01/01/13 11:30;67;6;0
01/01/13 11:45;63;5;0
01/01/13 12:00;66;6;0
01/01/13 12:15;70;5;0
01/01/13 12:30;67;6;0
01/01/13 12:45;64;5;0
01/01/13 13:00;66;6;0
01/01/13 13:15;66;5;0
01/01/13 13:30;64;6;0
01/01/13 13:45;63;5;0
01/01/13 14:00;65;6;0
01/01/13 14:15;67;6;0
01/01/13 14:30;64;5;0
01/01/13 14:45;64;5;0
01/01/13 15:00;68;7;0
01/01/13 15:15;63;5;0
01/01/13 15:30;64;6;0
01/01/13 15:45;64;6;0
01/01/13 16:00;68;6;0
01/01/13 16:15;65;7;0
01/01/13 16:30;65;6;0
01/01/13 16:45;67;7;0
01/01/13 17:00;65;6;0
01/01/13 17:15;64;6;0
01/01/13 17:30;63;6;0
01/01/13 17:45;63;6;0
01/01/13 18:00;64;6;0
01/01/13 18:15;66;5;0
01/01/13 18:30;68;7;0
01/01/13 18:45;69;7;0
01/01/13 19:00;68;7;0
01/01/13 19:15;66;6;0
01/01/13 19:30;66;6;0
01/01/13 19:45;66;5;0
01/01/13 20:00;66;6;0
01/01/13 20:15;68;6;0
01/01/13 20:30;66;6;0
01/01/13 20:45;66;5;0
01/01/13 21:00;71;8;0
01/01/13 21:15;75;7;0
01/01/13 21:30;69;7;0
01/01/13 21:45;70;7;0
01/01/13 22:00;69;6;0
01/01/13 22:15;68;7;0
01/01/13 22:30;69;6;0
01/01/13 22:45;70;7;0
01/01/13 23:00;71;7;0
01/01/13 23:15;69;7;0
01/01/13 23:30;69;7;0
01/01/13 23:45;69;6;0
02/01/13 00:00;67;7;0
02/01/13 00:15;67;5;0
02/01/13 00:30;64;5;0
02/01/13 00:45;66;5;0
02/01/13 01:00;67;6;0
02/01/13 01:15;65;5;0
02/01/13 01:30;64;5;0
02/01/13 01:45;67;5;0
02/01/13 02:00;66;5;0
02/01/13 02:15;72;5;0
02/01/13 02:30;66;5;0
02/01/13 02:45;67;5;0
02/01/13 03:00;64;5;0
02/01/13 03:15;65;5;0
02/01/13 03:30;67;4;0
02/01/13 03:45;65;5;0
02/01/13 04:00;65;5;0
02/01/13 04:15;65;5;0
02/01/13 04:30;67;4;0
02/01/13 04:45;65;5;0
02/01/13 05:00;66;5;0
02/01/13 05:15;67;5;0
02/01/13 05:30;64;5;0
02/01/13 05:45;66;4;0
02/01/13 06:00;65;5;0
02/01/13 06:15;68;5;0
02/01/13 06:30;70;5;0
02/01/13 06:45;67;5;0
02/01/13 07:00;68;5;0
02/01/13 07:15;67;5;0
02/01/13 07:30;73;10;0
02/01/13 07:45;90;19;0
02/01/13 08:00;95;22;0
02/01/13 08:15;98;25;0
02/01/13 08:30;103;27;0
02/01/13 08:45;117;33;0
02/01/13 09:00;125;35;0
02/01/13 09:15;125;35;0
02/01/13 09:30;125;40;0
02/01/13 09:45;129;38;0
02/01/13 10:00;129;38;0
02/01/13 10:15;124;35;0
02/01/13 10:30;124;36;0
02/01/13 10:45;125;39;0
02/01/13 11:00;126;42;0
02/01/13 11:15;126;39;0
02/01/13 11:30;124;36;0
02/01/13 11:45;127;35;0
02/01/13 12:00;130;39;0
02/01/13 12:15;130;33;0
02/01/13 12:30;129;32;0
02/01/13 12:45;124;30;0
02/01/13 13:00;125;31;0
02/01/13 13:15;128;37;0
02/01/13 13:30;122;39;0
02/01/13 13:45;123;37;0
02/01/13 14:00;122;38;0
02/01/13 14:15;125;40;0
02/01/13 14:30;123;43;0
02/01/13 14:45;123;41;0
02/01/13 15:00;123;41;0
02/01/13 15:15;126;41;0
02/01/13 15:30;125;40;0
02/01/13 15:45;121;38;0
02/01/13 16:00;117;37;0
02/01/13 16:15;115;32;0
02/01/13 16:30;116;33;0
02/01/13 16:45;105;30;0
02/01/13 17:00;88;22;0
02/01/13 17:15;69;11;0
02/01/13 17:30;69;8;0
02/01/13 17:45;70;9;0
02/01/13 18:00;71;10;0
02/01/13 18:15;68;7;0
02/01/13 18:30;70;9;0
02/01/13 18:45;67;8;0
02/01/13 19:00;67;8;0
02/01/13 19:15;70;8;0
02/01/13 19:30;68;9;0
02/01/13 19:45;68;8;0
02/01/13 20:00;69;9;0
02/01/13 20:15;72;9;0
02/01/13 20:30;69;9;0
02/01/13 20:45;71;9;0
02/01/13 21:00;69;7;0
02/01/13 21:15;70;6;0
02/01/13 21:30;73;7;0
02/01/13 21:45;69;6;0
02/01/13 22:00;70;6;0
02/01/13 22:15;67;6;0
02/01/13 22:30;69;6;0
02/01/13 22:45;68;7;0
02/01/13 23:00;70;6;0
02/01/13 23:15;70;7;0
02/01/13 23:30;70;6;0
02/01/13 23:45;70;7;0
03/01/13 00:00;68;5;0
03/01/13 00:15;65;4;0
03/01/13 00:30;64;4;0
03/01/13 00:45;66;3;0
03/01/13 01:00;65;4;0
03/01/13 01:15;67;4;0
03/01/13 01:30;66;3;0
03/01/13 01:45;67;5;0
03/01/13 02:00;67;3;0
03/01/13 02:15;66;5;0
03/01/13 02:30;66;4;0
03/01/13 02:45;66;4;0
03/01/13 03:00;67;3;0
03/01/13 03:15;67;4;0
03/01/13 03:30;68;4;0
03/01/13 03:45;65;4;0
03/01/13 04:00;66;4;0
03/01/13 04:15;67;4;0
03/01/13 04:30;67;4;0
03/01/13 04:45;68;5;0
03/01/13 05:00;67;4;0
03/01/13 05:15;68;4;0
03/01/13 05:30;68;4;0
03/01/13 05:45;69;4;0
03/01/13 06:00;69;4;0
03/01/13 06:15;72;5;0
03/01/13 06:30;73;5;0
03/01/13 06:45;73;7;0
03/01/13 07:00;78;8;0
03/01/13 07:15;78;10;0
03/01/13 07:30;84;12;0
03/01/13 07:45;90;19;0
03/01/13 08:00;101;23;0
03/01/13 08:15;101;27;0
03/01/13 08:30;112;31;0
03/01/13 08:45;112;33;0
03/01/13 09:00;130;39;0
03/01/13 09:15;128;42;0
03/01/13 09:30;129;41;0
03/01/13 09:45;134;37;0
03/01/13 10:00;131;40;0
03/01/13 10:15;135;35;0
03/01/13 10:30;129;35;0
03/01/13 10:45;129;41;0
03/01/13 11:00;131;42;0
03/01/13 11:15;130;41;0
03/01/13 11:30;131;43;0
03/01/13 11:45;131;45;0
03/01/13 12:00;130;38;0
03/01/13 12:15;132;38;0
03/01/13 12:30;122;37;0
03/01/13 12:45;121;34;0
03/01/13 13:00;122;33;0
03/01/13 13:15;121;33;0
03/01/13 13:30;120;34;0
03/01/13 13:45;124;36;0
03/01/13 14:00;118;38;0
03/01/13 14:15;118;35;0
03/01/13 14:30;117;35;0
03/01/13 14:45;117;33;0
03/01/13 15:00;115;32;0
03/01/13 15:15;113;33;0
03/01/13 15:30;111;32;0
03/01/13 15:45;109;33;0
03/01/13 16:00;108;32;0
03/01/13 16:15;107;31;0
03/01/13 16:30;96;25;0
03/01/13 16:45;87;23;0
03/01/13 17:00;84;19;0
03/01/13 17:15;70;10;0
03/01/13 17:30;70;10;0
03/01/13 17:45;72;11;0
03/01/13 18:00;71;9;0
03/01/13 18:15;71;10;0
03/01/13 18:30;69;7;0
03/01/13 18:45;68;6;0
03/01/13 19:00;69;5;0
03/01/13 19:15;70;6;0
03/01/13 19:30;66;6;0
03/01/13 19:45;67;6;0
03/01/13 20:00;67;5;0
03/01/13 20:15;71;6;0
03/01/13 20:30;68;5;0
03/01/13 20:45;70;6;0
03/01/13 21:00;68;5;0
03/01/13 21:15;69;5;0
03/01/13 21:30;68;6;0
03/01/13 21:45;69;6;0
03/01/13 22:00;69;5;0
03/01/13 22:15;70;6;0
03/01/13 22:30;68;5;0
03/01/13 22:45;70;7;0
03/01/13 23:00;69;6;0
03/01/13 23:15;69;6;0
03/01/13 23:30;71;6;0
03/01/13 23:45;70;6;0
04/01/13 00:00;71;6;0
04/01/13 00:15;67;4;0
04/01/13 00:30;67;4;0
04/01/13 00:45;67;4;0
04/01/13 01:00;68;4;0
04/01/13 01:15;69;4;0
04/01/13 01:30;67;4;0
04/01/13 01:45;68;4;0
04/01/13 02:00;67;3;0
04/01/13 02:15;69;6;0
04/01/13 02:30;69;5;0
04/01/13 02:45;68;5;0
04/01/13 03:00;68;4;0
04/01/13 03:15;68;4;0
04/01/13 03:30;67;4;0
04/01/13 03:45;67;4;0
04/01/13 04:00;68;4;0
04/01/13 04:15;66;4;0
04/01/13 04:30;67;3;0
04/01/13 04:45;68;4;0
04/01/13 05:00;68;4;0
04/01/13 05:15;67;3;0
04/01/13 05:30;69;4;0
04/01/13 05:45;71;3;0
04/01/13 06:00;68;4;0
04/01/13 06:15;73;5;0
04/01/13 06:30;74;5;0
04/01/13 06:45;76;7;0
04/01/13 07:00;76;9;0
04/01/13 07:15;87;8;0
04/01/13 07:30;78;10;0
04/01/13 07:45;95;13;0
04/01/13 08:00;97;20;0
04/01/13 08:15;112;27;0
04/01/13 08:30;133;33;0
04/01/13 08:45;128;33;0
04/01/13 09:00;128;34;0
04/01/13 09:15;129;33;0
04/01/13 09:30;131;38;0
04/01/13 09:45;155;38;0
04/01/13 10:00;154;37;0
04/01/13 10:15;148;39;0
04/01/13 10:30;137;40;0
04/01/13 10:45;142;41;0
04/01/13 11:00;140;38;0
04/01/13 11:15;141;36;0
04/01/13 11:30;140;35;0
04/01/13 11:45;142;36;0
04/01/13 12:00;140;37;0
04/01/13 12:15;134;34;0
04/01/13 12:30;135;34;0
04/01/13 12:45;126;29;0
04/01/13 13:00;123;31;0
04/01/13 13:15;131;32;0
04/01/13 13:30;130;31;0
04/01/13 13:45;128;34;0
04/01/13 14:00;123;32;0
04/01/13 14:15;124;35;0
04/01/13 14:30;130;39;0
04/01/13 14:45;135;38;0
04/01/13 15:00;132;35;0
04/01/13 15:15;127;31;0
04/01/13 15:30;124;31;0
04/01/13 15:45;124;32;0
04/01/13 16:00;121;33;0
04/01/13 16:15;118;33;0
04/01/13 16:30;114;31;0
04/01/13 16:45;104;26;0
04/01/13 17:00;95;22;0
04/01/13 17:15;81;13;0
04/01/13 17:30;76;11;0
04/01/13 17:45;75;11;0
04/01/13 18:00;72;9;0
04/01/13 18:15;70;6;0
04/01/13 18:30;67;6;0
04/01/13 18:45;68;5;0
04/01/13 19:00;67;5;0
04/01/13 19:15;66;5;0
04/01/13 19:30;67;5;0
04/01/13 19:45;66;5;0
04/01/13 20:00;67;5;0
04/01/13 20:15;67;5;0
04/01/13 20:30;67;6;0
04/01/13 20:45;69;6;0
04/01/13 21:00;69;6;0
04/01/13 21:15;71;8;0
04/01/13 21:30;69;9;0
04/01/13 21:45;69;7;0
04/01/13 22:00;67;4;0
04/01/13 22:15;67;6;0
04/01/13 22:30;67;5;0
04/01/13 22:45;66;4;0
04/01/13 23:00;67;5;0
04/01/13 23:15;68;6;0
04/01/13 23:30;68;7;0
04/01/13 23:45;70;6;0
05/01/13 00:00;70;6;0
05/01/13 00:15;67;5;0
05/01/13 00:30;68;5;0
