Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
31/12/12 23:45;39;18;0
01/01/13 00:00;36;16;0
01/01/13 00:15;37;16;0
01/01/13 00:30;36;15;0
01/01/13 00:45;36;15;0
01/01/13 01:00;37;17;0
01/01/13 01:15;37;17;0
01/01/13 01:30;38;17;0
01/01/13 01:45;37;17;0
01/01/13 02:00;36;17;0
01/01/13 02:15;38;19;0
01/01/13 02:30;36;17;0
01/01/13 02:45;36;17;0
01/01/13 03:00;37;19;0
01/01/13 03:15;37;17;0
01/01/13 03:30;37;19;0
01/01/13 03:45;38;18;0
01/01/13 04:00;35;18;0
01/01/13 04:15;38;18;0
01/01/13 04:30;36;17;0
01/01/13 04:45;38;16;0
01/01/13 05:00;36;17;0
01/01/13 05:15;36;17;0
01/01/13 05:30;36;16;0
01/01/13 05:45;36;17;0
01/01/13 06:00;35;16;0
01/01/13 06:15;36;16;0
01/01/13 06:30;35;16;0
01/01/13 06:45;34;16;0
01/01/13 07:00;36;16;0
01/01/13 07:15;35;17;0
01/01/13 07:30;36;18;0
01/01/13 07:45;37;19;0
01/01/13 08:00;37;22;0
01/01/13 08:15;35;21;0
01/01/13 08:30;34;21;0
01/01/13 08:45;31;17;0
01/01/13 09:00;30;15;0
01/01/13 09:15;29;15;0
01/01/13 09:30;33;14;0
01/01/13 09:45;33;14;0
01/01/13 10:00;34;15;0
01/01/13 10:15;34;15;0
01/01/13 10:30;32;12;0
01/01/13 10:45;34;13;0
01/01/13 11:00;37;15;0
01/01/13 11:15;34;15;0
01/01/13 11:30;37;16;0
01/01/13 11:45;40;15;0
01/01/13 12:00;37;14;0
01/01/13 12:15;38;16;0
01/01/13 12:30;36;18;0
01/01/13 12:45;36;17;0
01/01/13 13:00;36;17;0
01/01/13 13:15;35;17;0
01/01/13 13:30;37;17;0
01/01/13 13:45;34;17;0
01/01/13 14:00;33;16;0
01/01/13 14:15;34;16;0
01/01/13 14:30;37;17;0
01/01/13 14:45;37;16;0
01/01/13 15:00;36;17;0
01/01/13 15:15;38;16;0
01/01/13 15:30;36;16;0
01/01/13 15:45;35;17;0
01/01/13 16:00;34;16;0
01/01/13 16:15;35;14;0
01/01/13 16:30;33;13;0
01/01/13 16:45;34;11;0
01/01/13 17:00;34;14;0
01/01/13 17:15;35;15;0
01/01/13 17:30;35;15;0
01/01/13 17:45;38;16;0
01/01/13 18:00;39;17;0
01/01/13 18:15;40;16;0
01/01/13 18:30;44;20;0
01/01/13 18:45;44;24;0
01/01/13 19:00;44;23;0
01/01/13 19:15;42;23;0
01/01/13 19:30;43;24;0
01/01/13 19:45;46;22;0
01/01/13 20:00;47;23;0
01/01/13 20:15;51;22;0
01/01/13 20:30;46;24;0
01/01/13 20:45;44;26;0
01/01/13 21:00;43;24;0
01/01/13 21:15;45;25;0
01/01/13 21:30;46;27;0
01/01/13 21:45;43;21;0
01/01/13 22:00;42;21;0
01/01/13 22:15;38;15;0
01/01/13 22:30;38;13;0
01/01/13 22:45;35;10;0
01/01/13 23:00;34;10;0
01/01/13 23:15;33;9;0
01/01/13 23:30;34;10;0
01/01/13 23:45;33;10;0
02/01/13 00:00;33;11;0
02/01/13 00:15;31;11;0
02/01/13 00:30;29;9;0
02/01/13 00:45;28;9;0
02/01/13 01:00;28;8;0
02/01/13 01:15;28;9;0
02/01/13 01:30;28;10;0
02/01/13 01:45;28;9;0
02/01/13 02:00;26;8;0
02/01/13 02:15;25;8;0
02/01/13 02:30;25;8;0
02/01/13 02:45;24;7;0
02/01/13 03:00;24;7;0
02/01/13 03:15;25;7;0
02/01/13 03:30;23;5;0
02/01/13 03:45;24;6;0
02/01/13 04:00;25;7;0
02/01/13 04:15;24;8;0
02/01/13 04:30;24;4;0
02/01/13 04:45;24;5;0
02/01/13 05:00;24;7;0
02/01/13 05:15;24;6;0
02/01/13 05:30;24;5;0
02/01/13 05:45;26;8;0
02/01/13 06:00;29;9;0
02/01/13 06:15;28;9;0
02/01/13 06:30;29;9;0
02/01/13 06:45;28;8;0
02/01/13 07:00;32;12;0
02/01/13 07:15;35;14;0
02/01/13 07:30;37;19;0
02/01/13 07:45;50;27;0
02/01/13 08:00;49;25;0
02/01/13 08:15;48;28;0
02/01/13 08:30;52;31;0
02/01/13 08:45;57;28;0
02/01/13 09:00;69;35;0
02/01/13 09:15;67;35;0
02/01/13 09:30;71;39;0
02/01/13 09:45;73;38;0
02/01/13 10:00;83;40;0
02/01/13 10:15;88;42;0
02/01/13 10:30;83;40;0
02/01/13 10:45;85;41;0
02/01/13 11:00;83;42;0
02/01/13 11:15;86;44;0
02/01/13 11:30;91;44;0
02/01/13 11:45;92;46;0
02/01/13 12:00;96;46;0
02/01/13 12:15;89;47;0
02/01/13 12:30;80;39;0
02/01/13 12:45;72;38;0
02/01/13 13:00;76;40;0
02/01/13 13:15;80;39;0
02/01/13 13:30;77;39;0
02/01/13 13:45;74;36;0
02/01/13 14:00;70;37;0
02/01/13 14:15;75;39;0
02/01/13 14:30;70;40;0
02/01/13 14:45;74;40;0
02/01/13 15:00;73;40;0
02/01/13 15:15;73;40;0
02/01/13 15:30;70;40;0
02/01/13 15:45;62;38;0
02/01/13 16:00;67;42;0
02/01/13 16:15;62;40;0
02/01/13 16:30;63;39;0
02/01/13 16:45;63;38;0
02/01/13 17:00;61;37;0
02/01/13 17:15;60;35;0
02/01/13 17:30;57;34;0
02/01/13 17:45;49;28;0
02/01/13 18:00;48;29;0
02/01/13 18:15;49;30;0
02/01/13 18:30;47;27;0
02/01/13 18:45;44;27;0
02/01/13 19:00;44;22;0
02/01/13 19:15;41;18;0
02/01/13 19:30;40;18;0
02/01/13 19:45;42;20;0
02/01/13 20:00;43;21;0
02/01/13 20:15;41;19;0
02/01/13 20:30;42;20;0
02/01/13 20:45;42;20;0
02/01/13 21:00;41;20;0
02/01/13 21:15;41;19;0
02/01/13 21:30;39;18;0
02/01/13 21:45;41;20;0
02/01/13 22:00;39;19;0
02/01/13 22:15;39;19;0
02/01/13 22:30;40;16;0
02/01/13 22:45;41;15;0
02/01/13 23:00;43;16;0
02/01/13 23:15;42;17;0
02/01/13 23:30;46;20;0
02/01/13 23:45;43;19;0
03/01/13 00:00;41;19;0
03/01/13 00:15;42;19;0
03/01/13 00:30;38;18;0
03/01/13 00:45;38;16;0
03/01/13 01:00;39;18;0
03/01/13 01:15;39;17;0
03/01/13 01:30;37;17;0
03/01/13 01:45;39;16;0
03/01/13 02:00;38;17;0
03/01/13 02:15;36;14;0
03/01/13 02:30;36;13;0
03/01/13 02:45;33;11;0
03/01/13 03:00;31;10;0
03/01/13 03:15;32;10;0
03/01/13 03:30;32;10;0
03/01/13 03:45;33;10;0
03/01/13 04:00;33;11;0
03/01/13 04:15;32;10;0
03/01/13 04:30;32;9;0
03/01/13 04:45;33;8;0
03/01/13 05:00;32;8;0
03/01/13 05:15;31;9;0
03/01/13 05:30;33;10;0
03/01/13 05:45;33;11;0
03/01/13 06:00;37;13;0
03/01/13 06:15;37;17;0
03/01/13 06:30;42;20;0
03/01/13 06:45;41;18;0
03/01/13 07:00;40;16;0
03/01/13 07:15;40;16;0
03/01/13 07:30;44;20;0
03/01/13 07:45;46;22;0
03/01/13 08:00;53;25;0
03/01/13 08:15;48;24;0
03/01/13 08:30;51;26;0
03/01/13 08:45;54;28;0
03/01/13 09:00;62;29;0
03/01/13 09:15;75;34;0
03/01/13 09:30;87;40;0
03/01/13 09:45;93;40;0
03/01/13 10:00;92;41;0
03/01/13 10:15;95;41;0
03/01/13 10:30;97;44;0
03/01/13 10:45;98;42;0
03/01/13 11:00;90;42;0
03/01/13 11:15;94;44;0
03/01/13 11:30;94;45;0
03/01/13 11:45;103;47;0
03/01/13 12:00;101;45;0
03/01/13 12:15;96;45;0
03/01/13 12:30;87;44;0
03/01/13 12:45;90;40;0
03/01/13 13:00;94;41;0
03/01/13 13:15;94;41;0
03/01/13 13:30;88;38;0
03/01/13 13:45;88;40;0
03/01/13 14:00;92;42;0
03/01/13 14:15;93;43;0
03/01/13 14:30;87;44;0
03/01/13 14:45;85;42;0
03/01/13 15:00;84;44;0
03/01/13 15:15;86;46;0
03/01/13 15:30;85;46;0
03/01/13 15:45;81;42;0
03/01/13 16:00;83;45;0
03/01/13 16:15;83;43;0
03/01/13 16:30;76;42;0
03/01/13 16:45;76;41;0
03/01/13 17:00;72;39;0
03/01/13 17:15;66;38;0
03/01/13 17:30;62;37;0
03/01/13 17:45;54;31;0
03/01/13 18:00;52;33;0
03/01/13 18:15;52;31;0
03/01/13 18:30;52;32;0
03/01/13 18:45;53;28;0
03/01/13 19:00;53;27;0
03/01/13 19:15;52;23;0
03/01/13 19:30;50;23;0
03/01/13 19:45;51;23;0
03/01/13 20:00;53;25;0
03/01/13 20:15;57;24;0
03/01/13 20:30;50;23;0
03/01/13 20:45;49;23;0
03/01/13 21:00;48;23;0
03/01/13 21:15;49;22;0
03/01/13 21:30;51;23;0
03/01/13 21:45;50;22;0
03/01/13 22:00;49;23;0
03/01/13 22:15;47;19;0
03/01/13 22:30;44;15;0
03/01/13 22:45;46;15;0
03/01/13 23:00;46;16;0
03/01/13 23:15;45;16;0
03/01/13 23:30;40;17;0
03/01/13 23:45;41;16;0
04/01/13 00:00;41;17;0
04/01/13 00:15;41;17;0
04/01/13 00:30;40;16;0
04/01/13 00:45;40;17;0
04/01/13 01:00;38;13;0
04/01/13 01:15;38;13;0
04/01/13 01:30;38;12;0
04/01/13 01:45;37;10;0
04/01/13 02:00;36;11;0
04/01/13 02:15;35;10;0
04/01/13 02:30;35;11;0
04/01/13 02:45;34;11;0
04/01/13 03:00;35;10;0
04/01/13 03:15;35;10;0
04/01/13 03:30;33;10;0
04/01/13 03:45;34;9;0
04/01/13 04:00;35;11;0
04/01/13 04:15;34;10;0
04/01/13 04:30;33;9;0
04/01/13 04:45;35;9;0
04/01/13 05:00;35;9;0
04/01/13 05:15;34;10;0
04/01/13 05:30;34;9;0
04/01/13 05:45;37;12;0
04/01/13 06:00;39;13;0
04/01/13 06:15;44;20;0
04/01/13 06:30;46;20;0
04/01/13 06:45;46;21;0
04/01/13 07:00;44;20;0
04/01/13 07:15;42;16;0
04/01/13 07:30;47;20;0
04/01/13 07:45;51;22;0
04/01/13 08:00;59;27;0
04/01/13 08:15;69;30;0
04/01/13 08:30;71;30;0
04/01/13 08:45;70;28;0
04/01/13 09:00;73;32;0
04/01/13 09:15;76;35;0
04/01/13 09:30;83;40;0
04/01/13 09:45;93;45;0
04/01/13 10:00;94;45;0
04/01/13 10:15;95;45;0
04/01/13 10:30;96;47;0
04/01/13 10:45;99;46;0
04/01/13 11:00;94;44;0
04/01/13 11:15;93;44;0
04/01/13 11:30;100;47;0
04/01/13 11:45;110;50;0
04/01/13 12:00;99;49;0
04/01/13 12:15;92;44;0
04/01/13 12:30;89;41;0
04/01/13 12:45;87;39;0
04/01/13 13:00;88;40;0
04/01/13 13:15;86;38;0
04/01/13 13:30;83;38;0
04/01/13 13:45;80;36;0
04/01/13 14:00;81;38;0
04/01/13 14:15;77;40;0
04/01/13 14:30;73;39;0
04/01/13 14:45;69;36;0
04/01/13 15:00;68;37;0
04/01/13 15:15;68;36;0
04/01/13 15:30;69;37;0
04/01/13 15:45;67;37;0
04/01/13 16:00;65;37;0
04/01/13 16:15;63;34;0
04/01/13 16:30;65;34;0
04/01/13 16:45;64;35;0
04/01/13 17:00;63;32;0
04/01/13 17:15;63;31;0
04/01/13 17:30;55;26;0
04/01/13 17:45;41;18;0
04/01/13 18:00;41;18;0
04/01/13 18:15;43;20;0
04/01/13 18:30;40;22;0
04/01/13 18:45;43;21;0
04/01/13 19:00;43;19;0
04/01/13 19:15;42;20;0
04/01/13 19:30;41;22;0
04/01/13 19:45;39;21;0
04/01/13 20:00;38;19;0
04/01/13 20:15;38;19;0
04/01/13 20:30;37;20;0
04/01/13 20:45;35;20;0
04/01/13 21:00;41;19;0
04/01/13 21:15;39;19;0
04/01/13 21:30;41;20;0
04/01/13 21:45;38;19;0
04/01/13 22:00;34;16;0
04/01/13 22:15;33;13;0
04/01/13 22:30;33;13;0
04/01/13 22:45;32;11;0
04/01/13 23:00;34;13;0
04/01/13 23:15;34;15;0
04/01/13 23:30;32;12;0
04/01/13 23:45;34;14;0
05/01/13 00:00;36;14;0
05/01/13 00:15;33;12;0
05/01/13 00:30;31;9;0
05/01/13 00:45;31;10;0
05/01/13 01:00;31;10;0
05/01/13 01:15;31;10;0
05/01/13 01:30;31;10;0
05/01/13 01:45;31;8;0
05/01/13 02:00;31;8;0
05/01/13 02:15;32;9;0
05/01/13 02:30;33;9;0
05/01/13 02:45;34;9;0
05/01/13 03:00;33;10;0
05/01/13 03:15;31;8;0
05/01/13 03:30;30;8;0
05/01/13 03:45;32;8;0
05/01/13 04:00;29;8;0
05/01/13 04:15;30;8;0
05/01/13 04:30;29;9;0
05/01/13 04:45;31;7;0
05/01/13 05:00;28;7;0
05/01/13 05:15;29;8;0
05/01/13 05:30;28;8;0
05/01/13 05:45;29;10;0
05/01/13 06:00;34;14;0
05/01/13 06:15;35;17;0
05/01/13 06:30;35;16;0
05/01/13 06:45;34;16;0
05/01/13 07:00;35;20;0
05/01/13 07:15;36;17;0
05/01/13 07:30;34;16;0
05/01/13 07:45;37;20;0
05/01/13 08:00;40;22;0
05/01/13 08:15;43;28;0
05/01/13 08:30;40;24;0
05/01/13 08:45;41;23;0
05/01/13 09:00;44;22;0
05/01/13 09:15;45;22;0
05/01/13 09:30;42;21;0
05/01/13 09:45;42;20;0
05/01/13 10:00;44;20;0
05/01/13 10:15;42;21;0
05/01/13 10:30;42;19;0
05/01/13 10:45;40;18;0
05/01/13 11:00;40;17;0
05/01/13 11:15;40;17;0
05/01/13 11:30;39;16;0
05/01/13 11:45;47;17;0
05/01/13 12:00;42;17;0
05/01/13 12:15;40;18;0
05/01/13 12:30;40;16;0
05/01/13 12:45;40;15;0
05/01/13 13:00;41;15;0
05/01/13 13:15;39;16;0
05/01/13 13:30;40;16;0
05/01/13 13:45;35;15;0
05/01/13 14:00;39;16;0
05/01/13 14:15;39;17;0
05/01/13 14:30;39;16;0
05/01/13 14:45;39;16;0
05/01/13 15:00;37;17;0
05/01/13 15:15;37;16;0
05/01/13 15:30;36;16;0
05/01/13 15:45;36;16;0
05/01/13 16:00;38;17;0
05/01/13 16:15;37;17;0
05/01/13 16:30;41;17;0
05/01/13 16:45;41;18;0
05/01/13 17:00;40;15;0
05/01/13 17:15;40;18;0
05/01/13 17:30;42;18;0
05/01/13 17:45;42;19;0
