Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
31/12/12 23:45;50;28;0
01/01/13 00:00;47;27;0
01/01/13 00:15;43;26;0
01/01/13 00:30;41;25;0
01/01/13 00:45;39;25;0
01/01/13 01:00;34;23;0
01/01/13 01:15;33;24;0
01/01/13 01:30;34;23;0
01/01/13 01:45;33;23;0
01/01/13 02:00;37;26;0
01/01/13 02:15;46;25;0
01/01/13 02:30;44;25;0
01/01/13 02:45;42;25;0
01/01/13 03:00;42;26;0
01/01/13 03:15;38;24;0
01/01/13 03:30;33;24;0
01/01/13 03:45;35;25;0
01/01/13 04:00;33;23;0
01/01/13 04:15;34;24;0
01/01/13 04:30;31;22;0
01/01/13 04:45;28;17;0
01/01/13 05:00;27;14;0
01/01/13 05:15;27;14;0
01/01/13 05:30;27;14;0
01/01/13 05:45;32;14;0
01/01/13 06:00;28;14;0
01/01/13 06:15;23;10;0
01/01/13 06:30;24;7;0
01/01/13 06:45;22;8;0
01/01/13 07:00;23;8;0
01/01/13 07:15;22;7;0
01/01/13 07:30;27;12;0
01/01/13 07:45;32;16;0
01/01/13 08:00;24;15;0
01/01/13 08:15;25;14;0
01/01/13 08:30;41;19;0
01/01/13 08:45;41;18;0
01/01/13 09:00;34;15;0
01/01/13 09:15;28;14;0
01/01/13 09:30;26;14;0
01/01/13 09:45;23;14;0
01/01/13 10:00;24;12;0
01/01/13 10:15;23;12;0
01/01/13 10:30;28;12;0
01/01/13 10:45;26;14;0
01/01/13 11:00;27;12;0
01/01/13 11:15;31;14;0
01/01/13 11:30;28;10;0
01/01/13 11:45;27;11;0
01/01/13 12:00;23;10;0
01/01/13 12:15;25;11;0
01/01/13 12:30;27;11;0
01/01/13 12:45;26;9;0
01/01/13 13:00;32;10;0
01/01/13 13:15;32;11;0
01/01/13 13:30;25;9;0
01/01/13 13:45;26;10;0
01/01/13 14:00;25;11;0
01/01/13 14:15;24;10;0
01/01/13 14:30;26;10;0
01/01/13 14:45;24;10;0
01/01/13 15:00;30;12;0
01/01/13 15:15;32;11;0
01/01/13 15:30;33;11;0
01/01/13 15:45;31;11;0
01/01/13 16:00;33;11;0
01/01/13 16:15;25;9;0
01/01/13 16:30;23;10;0
01/01/13 16:45;24;10;0
01/01/13 17:00;24;10;0
01/01/13 17:15;26;10;0
01/01/13 17:30;25;11;0
01/01/13 17:45;29;15;0
01/01/13 18:00;36;17;0
01/01/13 18:15;39;19;0
01/01/13 18:30;40;22;0
01/01/13 18:45;36;19;0
01/01/13 19:00;45;22;0
01/01/13 19:15;46;21;0
01/01/13 19:30;41;25;0
01/01/13 19:45;39;24;0
01/01/13 20:00;40;29;0
01/01/13 20:15;43;27;0
01/01/13 20:30;50;30;0
01/01/13 20:45;48;28;0
01/01/13 21:00;47;29;0
01/01/13 21:15;48;28;0
