Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
01/01/13 00:00;0;0;0
01/01/13 00:15;0;0;0
01/01/13 00:30;0;0;0
01/01/13 00:45;0;0;0
01/01/13 01:00;0;0;0
01/01/13 01:15;0;0;0
01/01/13 01:30;0;0;0
01/01/13 01:45;0;0;0
01/01/13 02:00;0;0;0
01/01/13 02:15;0;0;0
01/01/13 02:30;0;0;0
01/01/13 02:45;0;0;0
01/01/13 03:00;0;0;0
01/01/13 03:15;0;0;0
01/01/13 03:30;0;0;0
01/01/13 03:45;0;0;0
01/01/13 04:00;0;0;0
01/01/13 04:15;0;0;0
01/01/13 04:30;0;0;0
01/01/13 04:45;0;0;0
01/01/13 05:00;0;0;0
01/01/13 05:15;0;0;0
01/01/13 05:30;0;0;0
01/01/13 05:45;0;0;0
01/01/13 06:00;0;0;0
01/01/13 06:15;0;0;0
01/01/13 06:30;0;0;0
01/01/13 06:45;0;0;0
01/01/13 07:00;0;0;0
01/01/13 07:15;2;1;0
01/01/13 07:30;6;5;0
01/01/13 07:45;5;4;0
01/01/13 08:00;6;5;0
01/01/13 08:15;4;3;0
01/01/13 08:30;10;8;0
01/01/13 08:45;9;7;0
01/01/13 09:00;9;8;0
01/01/13 09:15;10;8;0
01/01/13 09:30;6;4;0
01/01/13 09:45;6;5;0
01/01/13 10:00;6;4;0
01/01/13 10:15;4;3;0
01/01/13 10:30;24;22;0
01/01/13 10:45;35;32;0
01/01/13 11:00;34;32;0
01/01/13 11:15;35;32;0
01/01/13 11:30;8;7;0
01/01/13 11:45;6;4;0
01/01/13 12:00;5;4;0
01/01/13 12:15;6;5;0
01/01/13 12:30;25;23;0
01/01/13 12:45;35;34;0
01/01/13 13:00;35;33;0
01/01/13 13:15;35;33;0
01/01/13 13:30;8;7;0
01/01/13 13:45;6;4;0
01/01/13 14:00;5;5;0
01/01/13 14:15;4;3;0
01/01/13 14:30;34;31;0
01/01/13 14:45;35;34;0
01/01/13 15:00;35;33;0
01/01/13 15:15;37;35;0
01/01/13 15:30;10;9;0
01/01/13 15:45;7;6;0
01/01/13 16:00;7;6;0
01/01/13 16:15;5;4;0
01/01/13 16:30;24;22;0
01/01/13 16:45;36;34;0
01/01/13 17:00;34;33;0
01/01/13 17:15;36;33;0
01/01/13 17:30;8;7;0
01/01/13 17:45;6;5;0
01/01/13 18:00;6;4;0
01/01/13 18:15;4;3;0
01/01/13 18:30;25;23;0
01/01/13 18:45;35;32;0
01/01/13 19:00;34;33;0
01/01/13 19:15;33;32;0
01/01/13 19:30;3;2;0
01/01/13 19:45;0;0;0
01/01/13 20:00;0;0;0
01/01/13 20:15;0;0;0
01/01/13 20:30;0;0;0
01/01/13 20:45;0;0;0
01/01/13 21:00;0;0;0
01/01/13 21:15;0;0;0
01/01/13 21:30;0;0;0
01/01/13 21:45;0;0;0
01/01/13 22:00;0;0;0
01/01/13 22:15;0;0;0
01/01/13 22:30;0;0;0
01/01/13 22:45;0;0;0
01/01/13 23:00;0;0;0
01/01/13 23:15;0;0;0
01/01/13 23:30;0;0;0
01/01/13 23:45;0;0;0
02/01/13 00:00;0;0;0
02/01/13 00:15;0;0;0
02/01/13 00:30;0;0;0
02/01/13 00:45;0;0;0
02/01/13 01:00;0;0;0
02/01/13 01:15;0;0;0
02/01/13 01:30;0;0;0
02/01/13 01:45;0;0;0
02/01/13 02:00;0;0;0
02/01/13 02:15;0;0;0
02/01/13 02:30;0;0;0
02/01/13 02:45;0;0;0
02/01/13 03:00;0;0;0
02/01/13 03:15;0;0;0
02/01/13 03:30;0;0;0
02/01/13 03:45;0;0;0
02/01/13 04:00;0;0;0
02/01/13 04:15;0;0;0
02/01/13 04:30;0;0;0
02/01/13 04:45;0;0;0
02/01/13 05:00;0;0;0
02/01/13 05:15;0;0;0
02/01/13 05:30;0;0;0
02/01/13 05:45;0;0;0
02/01/13 06:00;0;0;0
02/01/13 06:15;0;0;0
02/01/13 06:30;0;0;0
02/01/13 06:45;0;0;0
02/01/13 07:00;0;0;0
02/01/13 07:15;1;1;0
02/01/13 07:30;6;5;0
02/01/13 07:45;6;4;0
02/01/13 08:00;6;5;0
02/01/13 08:15;4;3;0
02/01/13 08:30;9;7;0
02/01/13 08:45;9;7;0
02/01/13 09:00;9;8;0
02/01/13 09:15;10;8;0
02/01/13 09:30;6;5;0
02/01/13 09:45;6;5;0
02/01/13 10:00;6;4;0
02/01/13 10:15;4;4;0
02/01/13 10:30;25;22;0
02/01/13 10:45;35;34;0
02/01/13 11:00;35;33;0
02/01/13 11:15;35;34;0
02/01/13 11:30;9;7;0
02/01/13 11:45;5;5;0
02/01/13 12:00;6;4;0
02/01/13 12:15;6;5;0
02/01/13 12:30;26;24;0
02/01/13 12:45;36;35;0
02/01/13 13:00;37;34;0
02/01/13 13:15;36;35;0
02/01/13 13:30;9;7;0
02/01/13 13:45;5;5;0
02/01/13 14:00;6;4;0
02/01/13 14:15;4;4;0
02/01/13 14:30;34;31;0
02/01/13 14:45;36;34;0
02/01/13 15:00;35;33;0
02/01/13 15:15;38;36;0
02/01/13 15:30;10;8;0
02/01/13 15:45;7;7;0
02/01/13 16:00;8;6;0
02/01/13 16:15;4;4;0
02/01/13 16:30;25;22;0
02/01/13 16:45;35;34;0
02/01/13 17:00;35;32;0
02/01/13 17:15;36;34;0
02/01/13 17:30;8;7;0
02/01/13 17:45;6;4;0
02/01/13 18:00;5;5;0
02/01/13 18:15;5;3;0
02/01/13 18:30;24;21;0
02/01/13 18:45;35;33;0
02/01/13 19:00;34;32;0
02/01/13 19:15;35;31;0
02/01/13 19:30;2;3;0
02/01/13 19:45;0;0;0
02/01/13 20:00;0;0;0
02/01/13 20:15;0;0;0
02/01/13 20:30;0;0;0
02/01/13 20:45;0;0;0
02/01/13 21:00;0;0;0
02/01/13 21:15;0;0;0
02/01/13 21:30;0;0;0
02/01/13 21:45;0;0;0
02/01/13 22:00;0;0;0
02/01/13 22:15;0;0;0
02/01/13 22:30;0;0;0
02/01/13 22:45;0;0;0
02/01/13 23:00;0;0;0
02/01/13 23:15;0;0;0
02/01/13 23:30;0;0;0
02/01/13 23:45;0;0;0
03/01/13 00:00;0;0;0
03/01/13 00:15;0;0;0
03/01/13 00:30;0;0;0
03/01/13 00:45;0;0;0
03/01/13 01:00;0;0;0
03/01/13 01:15;0;0;0
03/01/13 01:30;0;0;0
03/01/13 01:45;0;0;0
03/01/13 02:00;0;0;0
03/01/13 02:15;0;0;0
03/01/13 02:30;0;0;0
03/01/13 02:45;0;0;0
03/01/13 03:00;0;0;0
03/01/13 03:15;0;0;0
03/01/13 03:30;0;0;0
03/01/13 03:45;0;0;0
03/01/13 04:00;0;0;0
03/01/13 04:15;0;0;0
03/01/13 04:30;0;0;0
03/01/13 04:45;0;0;0
03/01/13 05:00;0;0;0
03/01/13 05:15;0;0;0
03/01/13 05:30;0;0;0
03/01/13 05:45;0;0;0
03/01/13 06:00;0;0;0
03/01/13 06:15;0;0;0
03/01/13 06:30;0;0;0
03/01/13 06:45;0;0;0
03/01/13 07:00;0;0;0
03/01/13 07:15;2;1;0
03/01/13 07:30;6;5;0
03/01/13 07:45;5;4;0
03/01/13 08:00;6;5;0
03/01/13 08:15;4;3;0
03/01/13 08:30;9;8;0
03/01/13 08:45;9;7;0
03/01/13 09:00;9;7;0
03/01/13 09:15;11;8;0
03/01/13 09:30;5;5;0
03/01/13 09:45;6;4;0
03/01/13 10:00;6;5;0
03/01/13 10:15;4;3;0
03/01/13 10:30;25;22;0
03/01/13 10:45;35;33;0
03/01/13 11:00;34;33;0
03/01/13 11:15;36;33;0
03/01/13 11:30;9;7;0
03/01/13 11:45;5;4;0
03/01/13 12:00;6;5;0
03/01/13 12:15;6;4;0
03/01/13 12:30;26;24;0
03/01/13 12:45;39;35;0
03/01/13 13:00;39;34;0
03/01/13 13:15;38;35;0
03/01/13 13:30;9;7;0
03/01/13 13:45;6;5;0
03/01/13 14:00;5;4;0
03/01/13 14:15;5;4;0
03/01/13 14:30;33;30;0
03/01/13 14:45;35;33;0
03/01/13 15:00;35;32;0
03/01/13 15:15;37;35;0
03/01/13 15:30;10;8;0
03/01/13 15:45;7;6;0
03/01/13 16:00;7;6;0
03/01/13 16:15;5;4;0
03/01/13 16:30;25;22;0
03/01/13 16:45;36;33;0
