Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
31/12/12 23:45;23;7;0
01/01/13 00:00;22;7;0
01/01/13 00:15;23;7;0
01/01/13 00:30;22;6;0
01/01/13 00:45;22;6;0
01/01/13 01:00;23;7;0
01/01/13 01:15;22;7;0
01/01/13 01:30;23;6;0
01/01/13 01:45;23;7;0
01/01/13 02:00;22;6;0
01/01/13 02:15;23;7;0
01/01/13 02:30;23;7;0
01/01/13 02:45;22;7;0
01/01/13 03:00;23;7;0
01/01/13 03:15;23;7;0
01/01/13 03:30;24;7;0
01/01/13 03:45;22;7;0
01/01/13 04:00;23;7;0
01/01/13 04:15;23;7;0
01/01/13 04:30;23;7;0
01/01/13 04:45;23;7;0
01/01/13 05:00;23;7;0
01/01/13 05:15;23;7;0
01/01/13 05:30;24;7;0
01/01/13 05:45;23;7;0
01/01/13 06:00;25;7;0
01/01/13 06:15;27;7;0
01/01/13 06:30;26;7;0
01/01/13 06:45;27;8;0
01/01/13 07:00;31;11;0
01/01/13 07:15;31;12;0
01/01/13 07:30;31;12;0
01/01/13 07:45;31;12;0
01/01/13 08:00;33;12;0
01/01/13 08:15;33;12;0
01/01/13 08:30;34;12;0
01/01/13 08:45;32;12;0
01/01/13 09:00;32;12;0
01/01/13 09:15;32;11;0
01/01/13 09:30;32;11;0
01/01/13 09:45;31;10;0
01/01/13 10:00;31;11;0
01/01/13 10:15;31;11;0
01/01/13 10:30;32;10;0
01/01/13 10:45;31;11;0
01/01/13 11:00;31;10;0
01/01/13 11:15;31;11;0
01/01/13 11:30;31;10;0
01/01/13 11:45;32;11;0
01/01/13 12:00;31;11;0
01/01/13 12:15;32;11;0
01/01/13 12:30;31;11;0
01/01/13 12:45;32;11;0
01/01/13 13:00;31;11;0
01/01/13 13:15;31;11;0
01/01/13 13:30;32;11;0
01/01/13 13:45;32;11;0
01/01/13 14:00;31;11;0
01/01/13 14:15;32;12;0
01/01/13 14:30;32;11;0
01/01/13 14:45;32;12;0
01/01/13 15:00;32;11;0
01/01/13 15:15;32;12;0
01/01/13 15:30;32;11;0
01/01/13 15:45;32;12;0
01/01/13 16:00;31;11;0
01/01/13 16:15;32;12;0
01/01/13 16:30;31;12;0
01/01/13 16:45;32;11;0
01/01/13 17:00;31;11;0
01/01/13 17:15;30;12;0
01/01/13 17:30;29;11;0
01/01/13 17:45;30;10;0
01/01/13 18:00;31;11;0
01/01/13 18:15;29;11;0
01/01/13 18:30;26;7;0
01/01/13 18:45;27;7;0
01/01/13 19:00;25;7;0
01/01/13 19:15;26;7;0
01/01/13 19:30;25;7;0
01/01/13 19:45;24;6;0
01/01/13 20:00;25;7;0
01/01/13 20:15;25;7;0
01/01/13 20:30;25;6;0
01/01/13 20:45;24;7;0
01/01/13 21:00;24;7;0
01/01/13 21:15;22;6;0
01/01/13 21:30;23;7;0
01/01/13 21:45;23;7;0
01/01/13 22:00;23;7;0
01/01/13 22:15;23;7;0
01/01/13 22:30;23;7;0
01/01/13 22:45;24;7;0
01/01/13 23:00;23;7;0
01/01/13 23:15;23;7;0
01/01/13 23:30;23;7;0
01/01/13 23:45;23;7;0
02/01/13 00:00;23;7;0
02/01/13 00:15;22;7;0
02/01/13 00:30;23;7;0
02/01/13 00:45;22;6;0
02/01/13 01:00;23;7;0
02/01/13 01:15;23;7;0
02/01/13 01:30;23;7;0
02/01/13 01:45;23;7;0
02/01/13 02:00;23;7;0
02/01/13 02:15;23;7;0
02/01/13 02:30;23;7;0
02/01/13 02:45;23;7;0
02/01/13 03:00;23;7;0
02/01/13 03:15;24;8;0
02/01/13 03:30;24;7;0
02/01/13 03:45;23;7;0
02/01/13 04:00;24;8;0
02/01/13 04:15;24;7;0
02/01/13 04:30;24;8;0
02/01/13 04:45;24;7;0
02/01/13 05:00;24;7;0
02/01/13 05:15;24;7;0
02/01/13 05:30;24;8;0
02/01/13 05:45;23;7;0
02/01/13 06:00;25;6;0
02/01/13 06:15;27;8;0
02/01/13 06:30;26;7;0
02/01/13 06:45;27;7;0
02/01/13 07:00;33;13;0
02/01/13 07:15;45;26;0
02/01/13 07:30;52;35;0
02/01/13 07:45;55;39;0
02/01/13 08:00;60;41;0
02/01/13 08:15;66;40;0
02/01/13 08:30;64;38;0
02/01/13 08:45;67;41;0
02/01/13 09:00;138;92;0
02/01/13 09:15;81;62;0
02/01/13 09:30;84;67;0
02/01/13 09:45;86;67;0
02/01/13 10:00;84;63;0
02/01/13 10:15;89;67;0
02/01/13 10:30;84;62;0
02/01/13 10:45;90;68;0
02/01/13 11:00;83;60;0
02/01/13 11:15;90;67;0
02/01/13 11:30;83;60;0
02/01/13 11:45;91;68;0
02/01/13 12:00;84;61;0
02/01/13 12:15;87;63;0
02/01/13 12:30;69;44;0
02/01/13 12:45;72;48;0
02/01/13 13:00;69;45;0
02/01/13 13:15;65;44;0
02/01/13 13:30;63;42;0
02/01/13 13:45;66;45;0
02/01/13 14:00;66;45;0
02/01/13 14:15;68;46;0
02/01/13 14:30;66;43;0
02/01/13 14:45;65;43;0
02/01/13 15:00;64;43;0
02/01/13 15:15;66;44;0
02/01/13 15:30;66;44;0
02/01/13 15:45;65;44;0
02/01/13 16:00;115;84;0
02/01/13 16:15;82;64;0
02/01/13 16:30;87;69;0
02/01/13 16:45;76;57;0
02/01/13 17:00;82;63;0
02/01/13 17:15;75;57;0
