Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
31/12/12 23:45;75;67;0
01/01/13 00:00;75;65;0
01/01/13 00:15;74;64;0
01/01/13 00:30;73;63;0
01/01/13 00:45;73;62;0
01/01/13 01:00;70;62;0
01/01/13 01:15;70;61;0
01/01/13 01:30;71;62;0
01/01/13 01:45;70;63;0
01/01/13 02:00;71;62;0
01/01/13 02:15;70;63;0
01/01/13 02:30;72;64;0
01/01/13 02:45;72;64;0
01/01/13 03:00;71;64;0
01/01/13 03:15;71;64;0
01/01/13 03:30;71;64;0
01/01/13 03:45;71;64;0
01/01/13 04:00;71;65;0
01/01/13 04:15;71;64;0
01/01/13 04:30;71;66;0
01/01/13 04:45;71;65;0
01/01/13 05:00;70;65;0
01/01/13 05:15;72;64;0
01/01/13 05:30;70;64;0
01/01/13 05:45;70;63;0
01/01/13 06:00;71;63;0
01/01/13 06:15;70;63;0
01/01/13 06:30;71;63;0
01/01/13 06:45;71;62;0
01/01/13 07:00;70;63;0
01/01/13 07:15;72;65;0
01/01/13 07:30;92;81;0
01/01/13 07:45;98;90;0
01/01/13 08:00;89;82;0
01/01/13 08:15;96;89;0
01/01/13 08:30;89;82;0
01/01/13 08:45;89;80;0
01/01/13 09:00;89;78;0
01/01/13 09:15;93;80;0
01/01/13 09:30;87;74;0
01/01/13 09:45;87;74;0
01/01/13 10:00;86;73;0
01/01/13 10:15;88;74;0
01/01/13 10:30;91;78;0
01/01/13 10:45;87;75;0
01/01/13 11:00;87;74;0
01/01/13 11:15;86;75;0
01/01/13 11:30;87;74;0
01/01/13 11:45;86;74;0
01/01/13 12:00;86;74;0
01/01/13 12:15;86;73;0
01/01/13 12:30;86;75;0
01/01/13 12:45;87;75;0
01/01/13 13:00;88;74;0
01/01/13 13:15;87;75;0
01/01/13 13:30;86;74;0
01/01/13 13:45;88;75;0
01/01/13 14:00;86;75;0
01/01/13 14:15;86;75;0
01/01/13 14:30;86;76;0
01/01/13 14:45;85;74;0
01/01/13 15:00;85;76;0
01/01/13 15:15;86;76;0
01/01/13 15:30;85;74;0
01/01/13 15:45;85;76;0
01/01/13 16:00;85;76;0
01/01/13 16:15;85;75;0
01/01/13 16:30;86;76;0
01/01/13 16:45;86;76;0
01/01/13 17:00;85;75;0
01/01/13 17:15;86;75;0
01/01/13 17:30;86;74;0
01/01/13 17:45;87;74;0
01/01/13 18:00;87;75;0
01/01/13 18:15;90;78;0
01/01/13 18:30;87;76;0
01/01/13 18:45;87;75;0
01/01/13 19:00;85;74;0
01/01/13 19:15;86;75;0
01/01/13 19:30;87;74;0
01/01/13 19:45;87;75;0
01/01/13 20:00;88;76;0
01/01/13 20:15;90;77;0
01/01/13 20:30;89;76;0
01/01/13 20:45;86;75;0
01/01/13 21:00;87;74;0
01/01/13 21:15;87;75;0
01/01/13 21:30;91;80;0
01/01/13 21:45;92;81;0
01/01/13 22:00;95;86;0
01/01/13 22:15;95;86;0
01/01/13 22:30;81;74;0
01/01/13 22:45;80;73;0
01/01/13 23:00;80;74;0
01/01/13 23:15;79;72;0
01/01/13 23:30;79;72;0
01/01/13 23:45;79;73;0
02/01/13 00:00;75;68;0
02/01/13 00:15;75;67;0
02/01/13 00:30;75;67;0
02/01/13 00:45;75;68;0
02/01/13 01:00;74;68;0
02/01/13 01:15;71;65;0
02/01/13 01:30;71;65;0
02/01/13 01:45;71;66;0
02/01/13 02:00;71;66;0
02/01/13 02:15;70;65;0
02/01/13 02:30;70;65;0
02/01/13 02:45;71;66;0
02/01/13 03:00;71;66;0
02/01/13 03:15;71;66;0
02/01/13 03:30;70;65;0
02/01/13 03:45;71;66;0
02/01/13 04:00;71;66;0
02/01/13 04:15;70;66;0
02/01/13 04:30;71;66;0
02/01/13 04:45;71;65;0
02/01/13 05:00;71;66;0
02/01/13 05:15;69;63;0
02/01/13 05:30;70;61;0
02/01/13 05:45;70;60;0
02/01/13 06:00;69;61;0
02/01/13 06:15;72;63;0
02/01/13 06:30;89;71;0
02/01/13 06:45;88;72;0
02/01/13 07:00;97;75;0
02/01/13 07:15;102;79;0
02/01/13 07:30;118;93;0
02/01/13 07:45;144;119;0
02/01/13 08:00;147;122;0
02/01/13 08:15;140;115;0
02/01/13 08:30;147;122;0
02/01/13 08:45;131;114;0
02/01/13 09:00;127;115;0
02/01/13 09:15;119;107;0
02/01/13 09:30;122;113;0
02/01/13 09:45;125;116;0
02/01/13 10:00;118;109;0
02/01/13 10:15;116;106;0
02/01/13 10:30;127;116;0
02/01/13 10:45;122;111;0
02/01/13 11:00;117;109;0
02/01/13 11:15;117;107;0
02/01/13 11:30;122;113;0
02/01/13 11:45;119;109;0
02/01/13 12:00;117;106;0
02/01/13 12:15;120;109;0
02/01/13 12:30;123;112;0
02/01/13 12:45;120;111;0
02/01/13 13:00;118;110;0
02/01/13 13:15;118;110;0
02/01/13 13:30;120;110;0
02/01/13 13:45;120;112;0
02/01/13 14:00;124;116;0
02/01/13 14:15;124;115;0
02/01/13 14:30;123;113;0
02/01/13 14:45;117;110;0
02/01/13 15:00;120;112;0
02/01/13 15:15;121;113;0
02/01/13 15:30;120;113;0
02/01/13 15:45;117;110;0
02/01/13 16:00;122;116;0
02/01/13 16:15;122;118;0
02/01/13 16:30;143;132;0
02/01/13 16:45;170;136;0
02/01/13 17:00;166;131;0
02/01/13 17:15;165;128;0
02/01/13 17:30;166;128;0
02/01/13 17:45;165;125;0
02/01/13 18:00;166;126;0
02/01/13 18:15;166;130;0
02/01/13 18:30;169;134;0
02/01/13 18:45;178;143;0
02/01/13 19:00;172;138;0
02/01/13 19:15;168;137;0
02/01/13 19:30;165;134;0
02/01/13 19:45;162;130;0
02/01/13 20:00;160;130;0
02/01/13 20:15;161;131;0
02/01/13 20:30;160;129;0
02/01/13 20:45;160;130;0
02/01/13 21:00;163;130;0
02/01/13 21:15;156;124;0
02/01/13 21:30;150;123;0
02/01/13 21:45;141;114;0
02/01/13 22:00;138;110;0
02/01/13 22:15;135;106;0
02/01/13 22:30;133;101;0
02/01/13 22:45;134;101;0
02/01/13 23:00;134;104;0
02/01/13 23:15;135;106;0
02/01/13 23:30;136;108;0
02/01/13 23:45;88;83;0
03/01/13 00:00;78;70;0
03/01/13 00:15;75;65;0
03/01/13 00:30;72;63;0
03/01/13 00:45;71;63;0
03/01/13 01:00;71;64;0
03/01/13 01:15;71;65;0
03/01/13 01:30;71;66;0
03/01/13 01:45;72;66;0
03/01/13 02:00;71;66;0
03/01/13 02:15;71;65;0
03/01/13 02:30;71;66;0
03/01/13 02:45;71;65;0
03/01/13 03:00;71;65;0
03/01/13 03:15;71;65;0
03/01/13 03:30;71;65;0
03/01/13 03:45;71;66;0
03/01/13 04:00;71;66;0
03/01/13 04:15;71;65;0
03/01/13 04:30;72;66;0
03/01/13 04:45;71;66;0
03/01/13 05:00;70;65;0
03/01/13 05:15;72;66;0
03/01/13 05:30;73;67;0
03/01/13 05:45;76;67;0
03/01/13 06:00;75;68;0
03/01/13 06:15;83;74;0
03/01/13 06:30;102;82;0
03/01/13 06:45;101;81;0
03/01/13 07:00;103;82;0
03/01/13 07:15;104;83;0
03/01/13 07:30;130;112;0
