Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
31/12/12 23:45;16;0;2
01/01/13 00:00;17;0;3
01/01/13 00:15;16;0;3
01/01/13 00:30;17;0;2
01/01/13 00:45;17;0;3
01/01/13 01:00;15;0;3
01/01/13 01:15;15;0;2
01/01/13 01:30;16;0;3
01/01/13 01:45;15;0;3
01/01/13 02:00;14;0;2
01/01/13 02:15;14;0;3
01/01/13 02:30;14;0;2
01/01/13 02:45;14;0;3
01/01/13 03:00;15;0;3
01/01/13 03:15;13;0;3
01/01/13 03:30;14;0;3
01/01/13 03:45;13;0;3
01/01/13 04:00;14;0;3
01/01/13 04:15;13;0;3
01/01/13 04:30;13;0;3
01/01/13 04:45;14;0;3
01/01/13 05:00;13;0;3
01/01/13 05:15;13;0;3
01/01/13 05:30;13;0;3
01/01/13 05:45;13;0;3
01/01/13 06:00;13;0;3
01/01/13 06:15;15;1;3
01/01/13 06:30;17;0;3
01/01/13 06:45;14;0;3
01/01/13 07:00;14;0;3
01/01/13 07:15;15;0;3
01/01/13 07:30;14;0;3
01/01/13 07:45;14;0;4
01/01/13 08:00;14;0;3
01/01/13 08:15;14;0;3
01/01/13 08:30;15;0;3
01/01/13 08:45;14;0;3
01/01/13 09:00;14;0;3
01/01/13 09:15;14;0;4
01/01/13 09:30;14;0;3
01/01/13 09:45;14;0;3
01/01/13 10:00;14;0;3
01/01/13 10:15;14;0;3
01/01/13 10:30;14;0;3
01/01/13 10:45;16;1;2
01/01/13 11:00;15;0;3
01/01/13 11:15;13;0;3
01/01/13 11:30;15;0;4
01/01/13 11:45;15;0;3
01/01/13 12:00;15;1;3
01/01/13 12:15;14;0;3
01/01/13 12:30;14;0;3
01/01/13 12:45;14;0;3
01/01/13 13:00;16;0;3
01/01/13 13:15;15;0;4
01/01/13 13:30;17;1;2
01/01/13 13:45;14;0;3
01/01/13 14:00;15;0;4
01/01/13 14:15;14;0;3
01/01/13 14:30;16;0;3
01/01/13 14:45;15;0;3
01/01/13 15:00;14;0;3
01/01/13 15:15;14;0;3
01/01/13 15:30;14;0;3
01/01/13 15:45;14;1;3
01/01/13 16:00;14;0;3
01/01/13 16:15;13;0;3
01/01/13 16:30;14;0;3
01/01/13 16:45;15;0;3
01/01/13 17:00;13;0;3
01/01/13 17:15;14;0;3
01/01/13 17:30;14;0;3
01/01/13 17:45;14;0;4
01/01/13 18:00;14;0;3
01/01/13 18:15;15;0;2
01/01/13 18:30;17;1;3
01/01/13 18:45;15;0;3
01/01/13 19:00;14;0;3
01/01/13 19:15;14;0;4
01/01/13 19:30;14;0;3
01/01/13 19:45;14;0;3
01/01/13 20:00;15;0;3
01/01/13 20:15;14;0;3
01/01/13 20:30;14;0;3
01/01/13 20:45;15;0;3
01/01/13 21:00;14;0;3
01/01/13 21:15;14;0;4
01/01/13 21:30;15;0;3
01/01/13 21:45;14;0;3
01/01/13 22:00;17;0;3
01/01/13 22:15;15;0;3
01/01/13 22:30;15;0;2
01/01/13 22:45;14;0;4
01/01/13 23:00;14;0;3
01/01/13 23:15;15;0;3
01/01/13 23:30;14;0;3
01/01/13 23:45;15;0;3
02/01/13 00:00;15;0;3
02/01/13 00:15;15;0;3
02/01/13 00:30;16;1;3
02/01/13 00:45;15;0;3
02/01/13 01:00;15;0;4
02/01/13 01:15;14;0;3
02/01/13 01:30;14;0;3
02/01/13 01:45;16;0;2
02/01/13 02:00;16;0;2
02/01/13 02:15;16;0;2
02/01/13 02:30;15;0;2
02/01/13 02:45;15;0;2
02/01/13 03:00;17;0;2
02/01/13 03:15;15;0;2
02/01/13 03:30;16;0;3
02/01/13 03:45;16;0;2
02/01/13 04:00;15;0;2
02/01/13 04:15;15;0;2
02/01/13 04:30;15;0;2
02/01/13 04:45;16;0;3
02/01/13 05:00;15;0;2
02/01/13 05:15;15;0;2
02/01/13 05:30;15;0;2
02/01/13 05:45;15;0;2
02/01/13 06:00;14;0;3
02/01/13 06:15;22;4;1
02/01/13 06:30;50;13;0
02/01/13 06:45;58;14;0
02/01/13 07:00;56;12;0
02/01/13 07:15;58;13;0
02/01/13 07:30;63;14;0
02/01/13 07:45;63;14;0
02/01/13 08:00;62;15;0
02/01/13 08:15;77;16;0
02/01/13 08:30;75;16;0
02/01/13 08:45;75;16;0
02/01/13 09:00;73;15;0
02/01/13 09:15;81;16;0
02/01/13 09:30;81;14;0
02/01/13 09:45;83;11;0
02/01/13 10:00;87;12;0
02/01/13 10:15;84;12;0
02/01/13 10:30;87;12;0
02/01/13 10:45;88;12;0
02/01/13 11:00;89;12;0
02/01/13 11:15;87;13;0
02/01/13 11:30;85;11;0
02/01/13 11:45;89;12;0
02/01/13 12:00;92;12;0
02/01/13 12:15;90;12;0
02/01/13 12:30;89;12;0
02/01/13 12:45;92;14;0
02/01/13 13:00;89;12;0
02/01/13 13:15;87;13;0
02/01/13 13:30;89;14;0
02/01/13 13:45;88;14;0
02/01/13 14:00;84;11;0
02/01/13 14:15;88;14;0
02/01/13 14:30;87;12;0
02/01/13 14:45;88;13;0
02/01/13 15:00;88;12;0
02/01/13 15:15;89;12;0
02/01/13 15:30;92;15;0
02/01/13 15:45;93;13;0
02/01/13 16:00;88;13;0
02/01/13 16:15;90;13;0
02/01/13 16:30;89;12;0
02/01/13 16:45;92;13;0
02/01/13 17:00;89;12;0
02/01/13 17:15;94;13;0
02/01/13 17:30;92;12;0
02/01/13 17:45;93;12;0
02/01/13 18:00;93;13;0
02/01/13 18:15;91;12;0
02/01/13 18:30;94;13;0
02/01/13 18:45;91;13;0
02/01/13 19:00;83;12;0
02/01/13 19:15;77;11;0
02/01/13 19:30;76;12;0
02/01/13 19:45;72;10;0
02/01/13 20:00;68;10;0
02/01/13 20:15;61;11;0
02/01/13 20:30;47;7;0
02/01/13 20:45;49;8;0
02/01/13 21:00;43;4;0
02/01/13 21:15;39;2;0
02/01/13 21:30;39;2;0
02/01/13 21:45;37;2;0
02/01/13 22:00;35;1;1
02/01/13 22:15;31;0;1
02/01/13 22:30;30;0;2
