Data hora;Activa kW;Reactiva Indutiva kVAR;Reactiva Capacitiva kVAR
31/12/12 23:45;10;4;0
01/01/13 00:00;10;3;0
01/01/13 00:15;10;3;0
01/01/13 00:30;9;3;0
01/01/13 00:45;10;3;0
01/01/13 01:00;10;4;0
01/01/13 01:15;9;3;0
01/01/13 01:30;10;3;0
01/01/13 01:45;10;3;0
01/01/13 02:00;10;3;0
01/01/13 02:15;9;3;0
01/01/13 02:30;10;4;0
01/01/13 02:45;10;3;0
01/01/13 03:00;10;3;0
01/01/13 03:15;10;3;0
01/01/13 03:30;10;4;0
01/01/13 03:45;10;3;0
01/01/13 04:00;10;3;0
01/01/13 04:15;10;3;0
01/01/13 04:30;10;4;0
01/01/13 04:45;10;3;0
01/01/13 05:00;10;3;0
01/01/13 05:15;11;4;0
01/01/13 05:30;10;3;0
01/01/13 05:45;10;3;0
01/01/13 06:00;9;3;0
01/01/13 06:15;10;4;0
01/01/13 06:30;10;3;0
01/01/13 06:45;10;3;0
01/01/13 07:00;10;3;0
01/01/13 07:15;10;3;0
01/01/13 07:30;10;4;0
01/01/13 07:45;10;3;0
01/01/13 08:00;6;2;0
01/01/13 08:15;6;2;0
01/01/13 08:30;6;2;0
01/01/13 08:45;7;2;0
01/01/13 09:00;6;2;0
01/01/13 09:15;6;2;0
01/01/13 09:30;6;2;0
01/01/13 09:45;6;2;0
01/01/13 10:00;6;2;0
01/01/13 10:15;6;2;0
01/01/13 10:30;6;2;0
01/01/13 10:45;6;2;0
01/01/13 11:00;6;2;0
01/01/13 11:15;6;2;0
01/01/13 11:30;6;2;0
01/01/13 11:45;6;2;0
01/01/13 12:00;6;2;0
01/01/13 12:15;6;2;0
01/01/13 12:30;6;2;0
01/01/13 12:45;6;2;0
01/01/13 13:00;5;2;0
01/01/13 13:15;6;2;0
01/01/13 13:30;6;2;0
01/01/13 13:45;6;2;0
01/01/13 14:00;6;2;0
01/01/13 14:15;6;2;0
01/01/13 14:30;6;2;0
01/01/13 14:45;6;2;0
01/01/13 15:00;6;2;0
01/01/13 15:15;6;2;0
01/01/13 15:30;6;2;0
01/01/13 15:45;6;2;0
01/01/13 16:00;6;2;0
01/01/13 16:15;6;2;0
01/01/13 16:30;6;2;0
01/01/13 16:45;6;2;0
01/01/13 17:00;6;2;0
01/01/13 17:15;6;2;0
01/01/13 17:30;5;2;0
01/01/13 17:45;6;2;0
01/01/13 18:00;6;2;0
01/01/13 18:15;6;2;0
01/01/13 18:30;9;3;0
01/01/13 18:45;9;4;0
01/01/13 19:00;10;3;0
01/01/13 19:15;9;3;0
01/01/13 19:30;10;3;0
01/01/13 19:45;9;3;0
01/01/13 20:00;9;4;0
01/01/13 20:15;10;3;0
01/01/13 20:30;9;3;0
01/01/13 20:45;10;3;0
01/01/13 21:00;9;3;0
01/01/13 21:15;10;3;0
01/01/13 21:30;9;4;0
01/01/13 21:45;10;3;0
01/01/13 22:00;10;3;0
01/01/13 22:15;9;3;0
01/01/13 22:30;10;3;0
01/01/13 22:45;10;4;0
01/01/13 23:00;10;3;0
01/01/13 23:15;10;3;0
01/01/13 23:30;10;4;0
01/01/13 23:45;10;3;0
02/01/13 00:00;10;3;0
02/01/13 00:15;10;3;0
02/01/13 00:30;10;4;0
02/01/13 00:45;10;3;0
02/01/13 01:00;10;3;0
02/01/13 01:15;10;4;0
02/01/13 01:30;10;3;0
02/01/13 01:45;11;3;0
02/01/13 02:00;10;3;0
02/01/13 02:15;10;4;0
02/01/13 02:30;10;3;0
02/01/13 02:45;10;3;0
02/01/13 03:00;10;4;0
02/01/13 03:15;11;3;0
02/01/13 03:30;10;3;0
02/01/13 03:45;10;4;0
02/01/13 04:00;10;3;0
02/01/13 04:15;10;3;0
02/01/13 04:30;11;4;0
02/01/13 04:45;10;3;0
02/01/13 05:00;10;3;0
02/01/13 05:15;10;4;0
02/01/13 05:30;10;3;0
02/01/13 05:45;10;3;0
02/01/13 06:00;10;3;0
02/01/13 06:15;10;4;0
02/01/13 06:30;10;3;0
02/01/13 06:45;10;3;0
02/01/13 07:00;9;3;0
02/01/13 07:15;10;3;0
02/01/13 07:30;10;4;0
02/01/13 07:45;9;3;0
02/01/13 08:00;6;2;0
02/01/13 08:15;6;2;0
02/01/13 08:30;6;2;0
02/01/13 08:45;5;2;0
02/01/13 09:00;6;2;0
02/01/13 09:15;6;2;0
02/01/13 09:30;7;2;0
02/01/13 09:45;6;2;0
02/01/13 10:00;6;2;0
02/01/13 10:15;7;2;0
02/01/13 10:30;6;2;0
02/01/13 10:45;6;2;0
02/01/13 11:00;7;2;0
02/01/13 11:15;6;3;0
02/01/13 11:30;6;2;0
02/01/13 11:45;6;2;0
02/01/13 12:00;7;2;0
02/01/13 12:15;6;2;0
02/01/13 12:30;6;2;0
02/01/13 12:45;7;2;0
02/01/13 13:00;6;2;0
02/01/13 13:15;6;3;0
02/01/13 13:30;7;2;0
02/01/13 13:45;6;2;0
02/01/13 14:00;6;2;0
02/01/13 14:15;6;2;0
02/01/13 14:30;7;2;0
02/01/13 14:45;6;2;0
02/01/13 15:00;6;2;0
02/01/13 15:15;6;2;0
02/01/13 15:30;6;2;0
02/01/13 15:45;7;3;0
02/01/13 16:00;6;2;0
02/01/13 16:15;6;2;0
02/01/13 16:30;6;2;0
02/01/13 16:45;6;2;0
02/01/13 17:00;7;2;0
02/01/13 17:15;6;2;0
02/01/13 17:30;6;2;0
02/01/13 17:45;6;2;0
02/01/13 18:00;5;2;0
02/01/13 18:15;6;2;0
02/01/13 18:30;10;4;0
02/01/13 18:45;9;3;0
02/01/13 19:00;10;3;0
02/01/13 19:15;10;4;0
02/01/13 19:30;9;3;0
02/01/13 19:45;10;3;0
02/01/13 20:00;10;4;0
02/01/13 20:15;10;3;0
02/01/13 20:30;10;3;0
02/01/13 20:45;10;4;0
02/01/13 21:00;10;3;0
02/01/13 21:15;10;4;0
02/01/13 21:30;10;3;0
02/01/13 21:45;10;3;0
02/01/13 22:00;11;4;0
02/01/13 22:15;9;3;0
02/01/13 22:30;10;3;0
02/01/13 22:45;9;3;0
02/01/13 23:00;10;4;0
02/01/13 23:15;10;3;0
02/01/13 23:30;10;3;0
02/01/13 23:45;10;3;0
03/01/13 00:00;10;4;0
03/01/13 00:15;10;3;0
03/01/13 00:30;9;3;0
03/01/13 00:45;10;3;0
03/01/13 01:00;10;4;0
03/01/13 01:15;10;3;0
03/01/13 01:30;11;3;0
03/01/13 01:45;10;4;0
03/01/13 02:00;10;3;0
03/01/13 02:15;10;3;0
03/01/13 02:30;11;4;0
03/01/13 02:45;10;3;0
03/01/13 03:00;10;3;0
03/01/13 03:15;10;4;0
03/01/13 03:30;10;3;0
03/01/13 03:45;10;3;0
03/01/13 04:00;11;4;0
03/01/13 04:15;10;3;0
03/01/13 04:30;10;3;0
03/01/13 04:45;10;4;0
03/01/13 05:00;11;3;0
03/01/13 05:15;10;3;0
03/01/13 05:30;10;4;0
03/01/13 05:45;10;3;0
03/01/13 06:00;10;3;0
03/01/13 06:15;10;4;0
03/01/13 06:30;10;3;0
03/01/13 06:45;10;3;0
03/01/13 07:00;10;3;0
03/01/13 07:15;10;4;0
03/01/13 07:30;10;3;0
03/01/13 07:45;10;3;0
03/01/13 08:00;6;2;0
03/01/13 08:15;6;2;0
03/01/13 08:30;6;2;0
03/01/13 08:45;5;2;0
03/01/13 09:00;6;2;0
03/01/13 09:15;6;2;0
03/01/13 09:30;6;2;0
03/01/13 09:45;7;2;0
03/01/13 10:00;6;3;0
03/01/13 10:15;6;2;0
03/01/13 10:30;7;2;0
03/01/13 10:45;6;2;0
03/01/13 11:00;6;2;0
03/01/13 11:15;7;2;0
03/01/13 11:30;6;2;0
03/01/13 11:45;6;2;0
03/01/13 12:00;6;3;0
03/01/13 12:15;7;2;0
03/01/13 12:30;6;2;0
03/01/13 12:45;6;2;0
03/01/13 13:00;7;2;0
03/01/13 13:15;6;2;0
03/01/13 13:30;6;2;0
03/01/13 13:45;6;2;0
03/01/13 14:00;7;2;0
03/01/13 14:15;6;3;0
03/01/13 14:30;6;2;0
03/01/13 14:45;7;2;0
03/01/13 15:00;6;2;0
03/01/13 15:15;6;2;0
03/01/13 15:30;6;2;0
03/01/13 15:45;7;2;0
03/01/13 16:00;6;2;0
03/01/13 16:15;6;2;0
03/01/13 16:30;6;2;0
03/01/13 16:45;7;3;0
03/01/13 17:00;6;2;0
03/01/13 17:15;6;2;0
03/01/13 17:30;6;2;0
03/01/13 17:45;6;2;0
03/01/13 18:00;6;2;0
03/01/13 18:15;6;2;0
03/01/13 18:30;9;3;0
03/01/13 18:45;10;4;0
03/01/13 19:00;9;3;0
03/01/13 19:15;10;3;0
03/01/13 19:30;9;4;0
03/01/13 19:45;10;3;0
03/01/13 20:00;10;3;0
03/01/13 20:15;10;3;0
03/01/13 20:30;9;4;0
03/01/13 20:45;10;3;0
03/01/13 21:00;11;3;0
03/01/13 21:15;10;4;0
03/01/13 21:30;10;3;0
03/01/13 21:45;10;3;0
03/01/13 22:00;10;4;0
03/01/13 22:15;10;3;0
03/01/13 22:30;9;3;0
03/01/13 22:45;10;3;0
03/01/13 23:00;9;4;0
03/01/13 23:15;10;3;0
03/01/13 23:30;9;3;0
03/01/13 23:45;10;3;0
04/01/13 00:00;10;3;0
04/01/13 00:15;10;4;0
04/01/13 00:30;9;3;0
04/01/13 00:45;10;3;0
04/01/13 01:00;10;3;0
04/01/13 01:15;10;4;0
